키워드
"㈜듀켐바이오, 바이오, 병원, 제약·바이오R&D"
"반도체장비, 생산기술, 기술지원, 조립, A·S수리"
"경영연구소, IPO, M&A, 에너지, 연구소"
"베이커리, 파티쉐, 카페, 제과제빵점, 제빵사"
"승무원편조, 항공사, 파트너쉽, RM, 화물영업"
"항공사, 데이터분석"
"마트, 진열관리"
"스토리텔러, 프리젠터"
"모바일앱개발, SM, 네트워크관리, 시스템운영, SI"
"화장품, 해외마케팅, 바이어개발, 영어, 거래처관리"
"화장품, 기업홍보, 메이크업, 키워드광고, 브랜딩"
"화장품, 메이크업, 해외마케팅, 수출입관리, 수출입계약"
"인터넷방송, 뉴미디어, PL, PM, 앱기획"
"CSS3, 웹표준·웹접근성, JavaScript, jquery, figma"
호텔
생산관리
"교수설계, 교재제작, 어학원, 영어학원, e러닝"
"어학원, 영어학원, 회원모집상담, e러닝, 영어"
"네트워크보안, 정보보안, 방화벽, 정보보안"
"솔루션영업, SI, 소프트웨어개발"
"사이트관리, 거래처관리, 문서관리, 생활용품, 소비재"
"물류센터, 유통관리, 입하, 창고관리, 택배"
"포워딩, 포워딩"
"건축설계, CAD, 실내건축, 건축시공, 인테리어"
"양식당, 음식료, 퓨전푸드, 양식, 서빙"
"관광, 관리회계, 부가세신고, 4대보험, 급여관리"
"통신, CCTV, 정보통신, 유지보수"
"물류센터, 배송, 운송, 육상운송, 택배"
"물류센터, 배송, 운송, 육상운송, 택배"
"물류센터, 배송, 운송, 육상운송, 택배"
"물류센터, 배송, 운송, 육상운송, 택배"
"물류센터, 배송, 운송, 육상운송, 택배"
"물류센터, 배송, 운송, 육상운송, 택배"
"물류센터, 배송, 운송, 육상운송, 택배"
"물류센터, 배송, 운송, 육상운송, 택배"
"기업교육, 영상제작, 키워드광고, 프로모션, 카페·블로그관리"
"교사, 어학원, 영어학원, 학원강사, 교육상담"
"서버개발, 웹개발, 인프라, 프론트엔드, AWS"
"쇼핑몰, 영업지원, 오픈마켓, 컴퓨터, 판매관리"
"키워드광고, 프로모션, 브랜딩, AMD, 리테일MD"
"단체급식, 식품가공"
"부가세신고, ERP운용, 재무회계, 상품기획, 자금관리"
"창고관리, B2B, B2C, 물류센터, 전자상거래"
"행정, 행정, 문서작성, 대학교, 조교"
"단체급식, 식품가공"
"해피콜, ㈜케이에이디, A·S수리, 기술지원, 접수·예약"
"단체급식, 식품가공"
"크리에이티브 컨셉/기획/제작, 콘텐츠 제작 디렉팅, 프로듀싱"
"개선 방안 도출, PM, 지표 분석, 프로덕트 매니징"
"엔터테인먼트사, 음향, 연예기획, 앨범제작, 프로듀서"
"네트웍구축, 통신"
"메이플스토리 월드, 모바일디자인, 유니티 위젯 생성 및 관리, GUI"
"상품입출고, 중장비운전, 재고관리, 상품입출고, 지게차운전"
"리포트 작성, PM, 프로젝트 개발 진행/관리, 일정관리"
"관광, 고객응대, 여행사무, 여행사, 여행상품안내·상담"
"상품입출고, 생산관리, 재고관리, 품질보증, 구매계약"
"채널 세팅, 인사이트 도출, 운영 협업, 전략기획, 시장분석"
"결함 보고 및 추적 관리, 테스터, 분석 및 Test"
"엔터테인먼트사, 연예기획, 사업기획, 전략기획, 매니지먼트"
"판매영업, 패션, 디스플레이, 매출관리, 여성의류"
"회로설계, 엘리베이터, 전기설계, 기계설계, 전기설비"
"매출관리, 프랜차이즈, 카페, 제과제빵점, 커피숍"
"공시, 내부회계관리, 사업보고서, 재무제표, 회계결산"
"매출관리, 프랜차이즈, 카페, 제과제빵점, 커피숍"
"법인운영 및 관리, 인력 채용/관리, 법인관리, 법인장, 법인설립"
건설기계
"공공기관, 반도체·LCD"
"신사업기획, 이벤트대행, 국제회의, 사업기획, 이벤트"
"프랜차이즈, 음식료, 매출관리, 카페, 데이터분석"
"생산관리, 의류"
"메뉴개발, 메뉴개발, 프랜차이즈, 베이커리, 베이커리"
"판매, 기술영업, 유통, 유통관리, 국내영업"
"소프트웨어개발, 솔루션, SI, 네트워크관리"
"행정, 문서작성, 전산입력, 서무"
"바이오, 제약, 생명공학"
손해보험
"모바일앱개발, 복리후생, 행정, 비품관리, 솔루션"
"결산, IPO, 솔루션, 재무기획, 재무분석"
"퍼블리싱, 신사업기획"
"3D설계, 자동차부품, 자동차정비, 자동차"
"생산관리, 자동차부품, 자동차정비, 자동차"
"한식, 한식"
"애견미용, 모발·두피관리"
"모바일앱개발, SM, 솔루션, SI, 전략기획"
"B2C, 식품MD, 카페·블로그관리, 전자상거래, AMD"
"한식당, 메뉴개발, 메뉴개발, 메뉴개발, 한식"
"사진촬영, 촬영보조, 상품등록, 사진"
"청기와타운, 식품연구, 음식료, 프랜차이즈, 한식당"
"해피콜, 카페·블로그관리, 게시판관리, 고객지원, 온라인상담"
"한식당, 베이커리, 호텔, 호텔, 서빙"
"거래처관리, 섬유영업, 납품영업, 영업기획, 유통영업"
"B2B, B2C, UI·UX기획, GUI, 전자상거래"
"관리회계, 재무회계, 재무분석, 관리회계, 재무회계"
"관리회계, 4대보험, 급여관리, 더존, 문서관리"
"메카트로닉스, 방음·방벽, 전기설비, 중식, 가스점검"
"샵마스터, 서빙, 양식, 카운터, 와인바"
"택배, 거래처관리, 적재·하역, 가맹점관리, 기계"
"폰트디자인, 동영상 광고제작, GUI, Sign디자인, 동영상"
"문서작성, 점포개발, 프랜차이즈, 음식료, 카페"
"프랜차이즈, 커피숍"
"물류센터, 상품입출고, 창고관리, 물류관리, 재고관리"
"품질보증, 전자, 품질보증, 검증"
"프랜차이즈, 커피숍"
"경영관리, 시장조사, 프로모션"
"SNS마케팅, e러닝, 카페·블로그관리, 광고기획, 회원모집상담"
"경영관리, 시장조사, 프로모션"
"경영관리, 시장조사, 프로모션"
"마트, 리테일MD, 유통, 물류, 유통관리"
"남성의류, 패션, 영어, 여성의류, 의류"
증권사
"B2B, 매출관리"
"밸브, 솔루션영업, 시스템영업, 기계, 기술영업"
"거래처관리, 판매영업, 영업기획, 영업전략, 가맹점관리"
"거래처관리, 솔루션영업, 기술영업, IT컨설팅, 고객관리"
"SM, SI"
"렌탈, 해피콜, 거래처관리, 렌탈영업, 가맹점관리"
"기업홍보, 라이센싱, SNS마케팅, 키워드광고, 프로모션"
자동화설비
"남성의류, 생산관리, 디스플레이, 여성의류, 의류"
"메뉴개발, 단체급식, 식단관리"
"A·S수리, 상사, 무역업, 자동차정비"
"고객지원, 라이더케어, 판매, 기술지원, A·S수리"
"PM, 영업전략"
"제어·설계, 신규아이템 발굴, 부품설계, 자동차"
유기합성
"PM, 영업전략"
"PM, 영업전략"
"PM, 영업전략"
"거래처관리, 바이오, 영양, 제약영업, 약국"
"거래처관리, 바이오, 영양, 제약영업, 약국"
"거래처관리, 바이오, 영양, 제약영업, 약국"
"물류센터, 홈쇼핑, 고객지원, 재고관리"
"화장품, 브랜드기획, 교육기획, 교육진행, 교육콘텐츠개발"
"SNS마케팅, 대행사 운영, 대행사 선정, 피칭 능력"
"화장품, 내자구매, 구매계약, IP"
"RA, 인허가"
"양식, 메뉴개발, 호텔, 양식당"
"비품관리, 문서관리, 문서관리, 자산관리"
"네트워크보안, 테스터, 보안소프트웨어, QC, 검증"
"남성의류, 패션, 산업안전, 산업안전, 여성의류"
"하드웨어, 사이트관리, 문서작성, 서무, 문서관리"
"거래처관리, 영업기획, 신사업기획, 데이터분석, 농산물"
"모바일앱개발, 솔루션, SI, SI개발, 소프트웨어개발"
"모바일앱개발, 솔루션, SI, 소프트웨어개발"
"한식당, 일식당, 프랜차이즈, 양식당, 퓨전푸드"
"BigData, 솔루션, SI, ERP, 소프트웨어개발"
"소프트웨어개발, 솔루션, 더존, 부가세신고, 전표입력"
"반도체장비, 장비영업, 국내영업"
"NGO, 국제기구, NGO"
"바이오, 제약·바이오R&D"
"마트, 판매, 건강영양상담, 물류, 건강상담"
"모바일디자인, 디지털디자인, 통신, 삽화·일러스트"
"PM, 앱기획, 교재제작, 콘텐츠기획, 서비스기획"
공중파방송
"거래처관리, 대리점관리, 거래선개발관리, 식품영업, 거래처관리"
"주주, 주주명부, 자문"
"출판기획, 편집자"
"제조/생산 시스템 운영, 제조/생산 시스템 개발, 데이터 구조화/시각화 개발, 기술 엔지니어"
"수행기사, 객장 고객관리/보안"
"해외영업, 품질보증, 생산관리, 공시, 설비관리"
"기술지원, 고객지원, 설치, 해충방제, 유지보수"
철도차량
"사업기획, 신사업기획, 전략기획, MMORPG"
"시장조사, 데이터분석, 앱기획, UI·UX기획, 공연기획"
"연기자, 로드매니저"
"해외영업, 품질보증, 생산관리, 공시, 설비관리"
"기술지원, 고객지원, 설치, 해충방제, 유지보수"
"해외영업, 품질보증, 생산관리, 공시, 설비관리"
"제강, 금속"
"제강, 연구, 연구기획"
"고객관리, 거래처관리, 브랜드기획, 영업기획, 영업전략"
"모바일앱개발, BigData, C++, 음성인식, 펌웨어"
"경영기획, HR컨설팅, 인사기획, 경영컨설팅, 컨설팅"
"모바일앱개발, BigData, GUI, 웹표준·웹접근성, GUI"
"모바일앱개발, BigData, C++, MySQL, SI개발"
"회로설계, 회로 분석, 테스트 벡터 생성, 회로 합성"
"경영기획, HR컨설팅, 인사기획, 경영컨설팅, 컨설팅"
"중식, 베이커리, 중식, 양식, 호텔"
"패션, 의류판매, 디스플레이, 여성의류, 의류"
"메뉴개발, 구내식당, 단체급식, 단체급식, 식단관리"
"시스템설계, 회로설계, 자동차부품"
무선통신
"사업개발, 사업기획, 라이선스 인증 사업"
무선통신
MMORPG
무선통신
무선통신
"관리회계, 재무회계, 전자, 세무조정, 결산"
"조립, 방산물자제조"
"제약영업, 의료기기영업, 바이오, 의약, 제약"
"산업안전, 비파괴검사"
"바이오, 약국, 의약, 기계조작, 제약"
"식품영업, 요업, 주류영업, 국내영업"
"기계조작, 식품가공"
"PM, 데이터관리"
"기술지원, 소프트웨어개발"
"관광, 호텔리어, 베이커리, 중식, 레스토랑"
"데이터관리, 솔루션, 모델링, asp, 데이터마이닝"
"브랜드기획, 고시학원, 컨텐츠개발, 키워드광고, 프로모션"
행정
회로설계
"데이터분석, 모바일App"
"딥러닝, 인공지능, 데이터분석"
"PM, 사업기획, 게임기획, 데이터분석"
"토목, 기술지원"
"토목, 기술지원"
"건설현장, 생산관리, 절단, 레미콘, 설비"
"솔루션, PL, PM, 소프트웨어개발"
"SWIFT, 클라이언트, Objective-C, 앱 배포"
"데이터분석, 데이터파이프라인"
"프로모션, 제휴마케팅, 시장분석, SNS마케팅, SNS마케팅"
데이터분석
"화장품판매, 매출관리, 판매관리, 진열관리, 고객응대"
"제약, 데이터분석, 화장품"
"스토리지, 솔루션영업, 영업기획, 시스템영업, 영업전략"
"영상제작, 애니메이션"
"생산관리, 건축자재, 유리"
헤어샵
"재고관리, 건축자재, 자재구매, 유리"
"반도체장비, 서비스기획, 네트워크관리, 시스템운영, 서버관리"
"반도체장비, 생산기술, 회로설계, 자동제어, 공정개발"
"반도체장비, 생산기술, 회로설계, 자동제어, 공정개발"
"반도체장비, 회로설계, 회로설계, 품질테스트"
"반도체장비, 인사기획, 인사교육, 인사행정, 급여관리"
"금형, 금속재료"
"IMC, 프로모션, 해외마케팅, 중국어, 리테일MD"
"프로모션, 해외마케팅, 중국어, 제휴마케팅, 기타외국어"
"피부관리, 피부과, 마사지"
"고객경험관리, 접수·예약, 전화상담, 고객지원, 온라인상담"
"창고관리, 재고관리, 자산관리"
"기구설계, 회로설계, 정밀광학, PLC"
"중고차딜러, 자동차정비, 자동차, 자동차영업, 자동차정비"
"고객지원, 음식료"
"딥러닝, 정밀광학, 이미지프로세싱"
"정밀광학, 자동제어"
"정밀광학, R&D"
"물류센터, 음식료"
"아동복디자인, 잡화디자인, 여성캐주얼디자인, 섬유디자인, 쇼핑몰"
"기타외국어, 교육행정, 교육기획, 모바일App, 교수설계"
"빅데이터, 금융상품기획, 전략기획, 정보보안, 데이터파이프라인"
"빅데이터, 금융상품기획, 전략기획, 정보보안, 데이터파이프라인"
"시스템운영, CDN, 서버관리"
"빅데이터, 금융상품기획, 전략기획, 정보보안, 데이터파이프라인"
"국내주식 신용/대출 리스크 관리, 데이터분석, 전략기획, 빅데이터, 데이터파이프라인"
"솔루션, PM, 소프트웨어개발"
"CDN, 시스템운영, 서버관리"
"빅데이터, 금융상품기획, 전략기획, 정보보안, 데이터파이프라인"
"빅데이터, 금융상품기획, 전략기획, 정보보안, 데이터파이프라인"
"빅데이터, 금융상품기획, 전략기획, 정보보안, 데이터파이프라인"
"빅데이터, 금융상품기획, 전략기획, 정보보안, 데이터파이프라인"
"빅데이터, 금융상품기획, 전략기획, 정보보안, 데이터파이프라인"
"업체관리, 유틸리티 설비, 자동화라인"
"구내식당, 단체급식, 단체급식"
"유통, 결산, 전표입력"
"바이오, 의약, 제약, 의료기기, 제약·바이오R&D"
"바이오, 의료기기, 의약, 제약, 제약·바이오R&D"
"반도체장비, LCD, 정밀광학, 3D설계, 디스플레이"
"바이오, 의약, 제약, 의료기기, 제약·바이오R&D"
"바이오, 의료기기, 의약, 제약, 제약·바이오R&D"
"제품개발, 생산관리, 검증, 상하수도, 시설점검"
"네트워크관리, 서버구축, 시스템분석, 시스템설계, 서버관리"
"경영관리, 모니터링, 전략기획"
"거래처관리, PCB, 고객관리, 국내영업"
"식품, 식품연구, 음식료, 일식"
"관리회계, SM, 경영관리, 솔루션, SI"
"모바일앱게임, RPG, 게임기획, 게임운영관리, GM·CS"
"생산관리, 검증, PCB"
"모바일앱게임, RPG, 앱기획, 게임기획, 게임운영관리"
"상품기획, 콘텐츠기획, 전략기획"
"중식당, 한식당, 고객서비스, CS교육, 식품"
"전자, FPCB, 기술영업, PCB"
"제도설계, 평가지원, 운영"
"중식당, 한식당, 고객서비스, CS교육, 식품"
"데이터시각화, 데이터분석"
"거래처관리, 고객응대, 영업기획, 영업전략, 가맹점관리"
"정밀광학, 영어, 기술영업"
"메뉴개발, 구내식당, 단체급식, 단체급식, 식단관리"
"중식, 중식당, 뷔페, 중식, 양식"
"재무회계, 회계감사"
"소방·방재, 전기설비, 전기배선"
"장비영업, 국내영업"
"상황실, SI, 시스템운영, 교통관제"
"품질보증, ISO, PCB"
"건축설계, 실내건축, 인테리어"
"신사업기획, 사업기획"
"브랜드디자인, 온라인광고, 광고기획, 광고대행"
"지게차운전, 물류"
"온라인광고, 광고기획, 광고대행"
물류
물류
"컨설팅, 클라우드아키텍트"
"테스터, test 자동화, 이슈 관리, 데이터 모니터링"
"어카운트 매니저, 온라인광고, 광고기획, 광고제작, 광고대행"
"설비, 식품가공"
식품가공
"실내건축, 인테리어, 건설안전"
"테스터, Test 계획, 소프트웨어 개발, 데이터 모니터링"
"골프장 코스관리, 골프"
물류
"엔에이치엔티켓링크㈜, 국내영업"
"인사총무, 인사행정, 인사기획, 무역업, 인사교육"
"행정, 전표입력"
"네트웍구축, 별정통신, 네트워크관리, 서버구축, 시스템운영"
"에너지, 영어, 중국어, 거래처관리, 고객관리"
"별정통신, 네트워크관리, 시스템운영, 네트웍구축, 서버관리"
"문서작성, 건축, 문서관리"
"해외구매, 구매계약, 자재구매, 외자구매"
"상품입출고, 상품기획, 재고관리, 재고관리, 쇼핑몰"
"품질보증, 생산관리, 품질보증, 쇼핑몰, 품질테스트"
소프트웨어개발
반도체장비
"교육행정, 교육기획, 프랜차이즈, 식품, 음식료"
"광고기획, 광고대행, 서비스기획, 콘텐츠기획, UI·UX기획"
"BigData, SM, SI, 소프트웨어개발"
"솔루션, ERP, 소프트웨어개발"
"Defi, 암호화폐"
"솔루션, ERP, 소프트웨어개발"
"4대보험, 복리후생, 비품관리"
"생명공학, 미생물, 바이오, 바이어개발, 영어"
"유지보수, 네트워크관리"
"B2C, 식품MD, 전자상거래, 리테일MD, 쇼핑몰"
"시장조사, 할인점, 브랜딩, CMO, 홈쇼핑"
"마트, 제약영업, 편의점, 납품영업, 제약영업"
"마트, 편의점, 품질보증, 할인점, 검증"
"게임개발, 게임기획, 웹표준·웹접근성"
"홍보대행, 프로모션대행, 온라인광고, BTL, 디지털마케팅"
"별정통신, 통신"
"별정통신, 통신"
"캐피탈, 전표입력"
"앱기획, 여행사, 서비스기획, 여행상품안내·상담"
"거래처관리, 영업기획, 대리점관리, 여행사, 고객관리"
"판매영업, 패션, 디스플레이, 매출관리, 여성의류"
"국내영업, 법인고객영업, 보험영업, 여신상담, 재무상담"
"그라인딩, 조립, 금속, 컨설팅, 절곡"
캐셔
"ATL, 촬영, 방송기획, 방송기획, 광고기획"
"벨맨, 컨시어지, 프런트, 하우스키핑, 호텔리어"
"컨시어지, 하우스키핑, 호텔사무, 고객응대, 컨시어지"
"양식, 호텔, 일식, 한식"
"UI·UX기획, 데이터분석, PM, 컨텐츠, 앱기획"
"GUI, 시스템분석, 서버관리, 컨텐츠, SI개발"
"SI개발, 네트워크관리, 시스템분석, 시스템운영, 서버구축"
"2D디자인, UI·UX기획, 모션그래픽, 4D, 삽화·일러스트"
"BigData, 솔루션, DataMining, 소프트웨어개발"
"이러닝, JLPT, LSAT, 어학원, 영어학원"
어학원
"게임소프트웨어, 콘솔게임, 아케이드게임, RPG, 게임디자인"
"생산관리, HACCP, 식품가공"
"창고관리, 재고관리, 상품입출고, 식품가공, 자재구매"
"3D온라인게임, 게임개발, 게임기획, 게임디자인, 게임소프트웨어"
"모션캡쳐, 인게임컷씬, 3D온라인게임, 게임개발, 게임기획"
"메카트로닉스, 자동차, 컨베이어"
"재무회계, IPO 업무, 내부회계 관리, 결산, 결산"
대기환경
대기환경
"상품입출고, 가스점검, 재고관리, 공조냉동, 시설점검"
"거래처관리, 영업기획"
"게임개발, 게임기획, 게임디자인, 게임소프트웨어, RPG"
"패션, 생산관리"
"건설, 시공관리, 국내영업"
"건설, 시공관리, 국내영업"
"컨텐츠분석, UX, 게임기획"
"게임디자인, 애니메이션, 포토샵"
"모바일앱개발, MariaDB, 웹표준·웹접근성, 안드로이드, 인터페이스"
"시장조사, PL, 브랜드기획, PM, 데이터분석"
"전산입력, 사회복지사, 학점은행제 TM, 학점은행제 회원관리, 문서관리"
"물류센터, 전기설비, 유지보수, 전기설비"
"예약·발권, 호텔사무, 여행사무, 여행사"
"예약·발권, 호텔사무, 여행사무, 여행사"
"행정, 서무, 행정"
"기계, 영어, 절삭공구, 바이어개발, 오더관리"
"토목, 공무"
"비파괴검사, 산업안전"
"비파괴검사, 산업안전"
"고객관리, 전산입력, 영업기획, 문서관리, 거래선개발관리"
"공공기관, 농림·축산연구, 딥러닝, 로봇설계, 메카트로닉스"
"임베디드, 회로설계, 펌웨어, 의료기기"
"교육기획, 교수설계, 교육진행, 교육콘텐츠개발"
"2D온라인게임, 모바일앱게임, 방송기획, 방송제작, 3D매핑"
"자동차부품, 금속"
"기업홍보, 라이센싱, 시장조사, 프로모션, 바이오"
"자금관리, 재무분석, 결산, 여행사, 입출금관리"
"게임소프트웨어, 콘솔게임, 데이터분석, 아케이드게임, RPG"
"기계, 자동화설비, 기계설계, 유지보수"
"생산관리, 품질보증"
프로그램 유지보수
기술영업
"시스템운영, 네트워크관리, 서버구축, 네트워크관리"
"네트워크관리, 보안관제, 검증"
"고객관리, 거래처관리, 잡화디자인, 잡화디자인, 프로모션"
"편성, 방송기획, 종합유선방송, 방송제작"
"거래처관리, 프로모션, 종합유선방송, 매출관리, 고객관리"
"컴플라이언스, 행정, 종합유선방송"
종합유선방송
"광고기획, 광고대행, 온라인광고, 바이럴마케팅, 카페·블로그관리"
"자동차, 자동차정비"
"시스템운영, 네트워크관리, 서버구축"
"A·S수리, 하드웨어, 설치, 컴퓨터, AS"
"상가, 공인중개사, 부동산중개, 부동산컨설팅, 부동산컨설팅"
"A·S수리, 하드웨어, 설치, 컴퓨터, AS"
"A·S수리, 하드웨어, 설치, 컴퓨터, AS"
"PL, PM, UI·UX기획, 스토리보드, PO"
"피자점, 서빙, 양식, 카운터, 와인바"
"적재·하역, 배송기사, 납품기사"
"중식, 중식당, 뷔페, 중식, 양식"
"손해사정, 시장조사, 재정설계, 펀드매니저, 창업컨설팅"
"단체급식, 단체급식"
"배송, 배송기사"
"중식, 중식당, 뷔페, 중식, 양식"
"공인중개사, 영업기획, 분양상담, 부동산컨설팅, 영업전략"
"프로모션대행, 브랜딩, 광고기획, 브랜딩, 광고제작"
"휘트니스센터, 헬스트레이너"
"실내건축, 시공관리, 인테리어"
"중식, 중식당, 뷔페, 중식, 양식"
"의료기기연구, 생명공학, 제약·바이오R&D, 소프트웨어개발, 연구간호사(CRC)"
"학원운영, 학원강사, 교육상담, 입시학원, 보습학원"
"수영장, 수영"
"네트워크보안, 네트워크관리"
"분양, 임대컨설팅, 부동산컨설팅, 전화상담, 부동산관리"
특허사무소
"물류센터, 입출고관리, 물류관리, 자료조사, 행정"
"재고관리, 의류판매, 전자상거래, 쇼핑몰, 진열관리"
특허사무소
"창고관리, 물류센터, 재고관리, 생활용품, 소비재"
의상디자인
특허사무소
"학원운영, 일반학원, 교육상담, 입시학원, 접수·예약"
"물류센터, 입출고관리, 물류관리, 자료조사, 행정"
"금융상담, 텔러, 보험사고, 자동차보험, 퇴직연금"
"쇼핑몰, 오픈마켓"
한방병의원
"판매, 납품기사"
"고객관리, e러닝, 사회교육"
녹음실
"수출입관리, 통관, 포워딩, 무역업"
쇼핑몰
"품질보증, 전자"
"디지털디자인, 식품가공, Sign디자인"
"창고관리, 납품"
"창고관리, 물류센터, 쇼핑몰"
"전자상거래, 쇼핑몰, 오픈마켓, 스타일리스트"
"물류센터, 재고관리, 쇼핑몰"
"메뉴개발, 한식당, 카페, 커피숍"
"SM, SI, 소프트웨어개발"
"택배, 화물차운전"
