키워드
"건축설계, 토목, 반도체생산"
"피부관리, 간호조무사, 피부과"
"제약영업, 거래처관리, 제약영업, 의약, 거래처관리"
"바이오, 생명공학, 의료기기, 의료기기영업, 거래처관리"
축산
"부가세신고, 급여관리, 전자상거래, 쇼핑몰, 4대보험"
"메뉴개발, 메뉴개발, 식품, 카페, 판매관리"
"상품기획, 상품기획, 오픈마켓"
"건설, 금속, 조경"
소프트웨어개발
"온라인광고, 콘텐츠기획, 광고디자인, 광고기획, 스토리보드"
"화장품, 시장조사, 신제품 기획, 제품 리뉴얼, 상품기획"
"납품, 유통, 납품기사"
"관광, 관광통역, 여행사무, 여행사, 면세점"
"소셜커머스, 쇼핑몰, 키워드광고"
"보안, 경비, 보안, 경비"
기계
"모바일앱개발, 솔루션, SI, ERP, 소프트웨어개발"
"기계, 설비, 자동화설비, 건설기계, 중량물기계이동설치"
"솔루션, 시스템운영, SI, 네트워크관리, 서버관리"
"사이트관리, 교육상담, 전화상담, 문서작성, 학생관리"
"트랙터 정비, 트랙터as, A·S센터, 기계조작"
프라스틱제조
"솔루션영업, 솔루션, 시스템영업, SI, 기술지원"
"메뉴개발, 베이커리, 파티쉐, 메뉴개발, 카페"
"학원운영, 교육상담, 사무, 학생관리"
"창고관리, 운송, 배송, 지게차운전, 물류"
"네트워크보안, 방화벽, 보안컨설팅, 정보보안, 정보보안"
"학원강사, 어학원, 영어학원, 영어"
"전기설비, 전기설비"
ERP
"납품, 납품, 물류"
"제지, 거래처관리, 국내영업"
"경정비, 중정비, A·S센터, 기업홍보"
"경정비, 중정비, A·S센터, 기계조작"
"파워포인트, 프로모션대행, 프로모션, 공연기획, 광고기획"
"어플리케이션 개발자, 외주개발, C# 개발, 주문형 프로그램, ㈜데브존"
"제품영업, 거래선개발관리, 안드로이드, 고객관리, 매출관리"
"유통관리, 기업홍보, 이벤트기획"
"모델하우스, 고객관리"
"렌탈, 반복작업, 검증"
"직업전문학교, 산업안전, 자격증·기술, 직업훈련, 국비지원"
건설
"B2B, B2C, 상품기획, 식품MD, 전자상거래"
"생활용품, 납품기사"
"섬유공학, 수출입관리, 중국어, 영어, 국제무역"
"창고관리, 택배, 물류센터, 재고관리, 생활용품"
"SI개발, 웹프로덕션, 웹에이전시"
"식품MD, AMD, 쇼핑몰"
"생산관리, 포장인쇄"
방문교사
"시공관리, 부동산운용, 경공매, 시설점검, 부동산관리"
"관리회계, 내부감사, 재무회계, 환경, 회계감사"
"거래처관리, 가맹점관리, 프랜차이즈, 매출관리"
"건설안전, 시공관리, 건축기사, 소방, 소방·방재"
"환경, 대기환경, 수질환경, 환경기사, 플랜트"
"기구설계, 제어, Firmware, Hardware, Micom"
"양식, 양식 레스토랑, 양식 레스토랑 주방"
"자동차부품, 원가, 견적원가, 제품원가, 원가관리"
"건설, 화물차운전, 상하수도, 토목"
"스토리지, IT컨설팅, 서버구축, 시스템분석, 시스템설계"
"손해사정, 화재보험"
"급여관리, 계산서발행, 자동화설비, 부가세신고, 4대보험"
"행정, 비품관리, 호텔, 인사행정, 자산관리"
"전자, SMPS, 전기"
"전기설계, 회로설계, 자동제어, 전기기사, PLC"
"생산기술, 기구설계, 제어·설계, 전자, 3D설계"
"해피콜, 전자상거래, 고객지원, 쇼핑몰, 쇼핑몰"
"연구소, 생명공학, 제약·바이오R&D, 의료기기연구"
"조립, 자동차부품"
"유통관리, 창고관리, 판매, 물류센터, 유통"
"전기설계, 회로설계, 자동제어, 전기기사, PLC"
"온라인광고, 광고기획, 클라이언트, 광고대행"
"창고관리, 판매, 유통, 유통관리, 재고관리"
"품질보증, 검증, 자동차부품, ISO"
"출판기획, 전자출판, 출판"
"공무, 결산, 건설노무"
"식품, 음식료, 카페"
"전화상담, 안과"
"웹표준·웹접근성, 반응형웹, 웹에이전시"
"보습학원, 어학원, 영어학원, 입시학원, 학원강사"
"중식, 중식, 서빙, 매출관리, 프랜차이즈"
"회로설계, 통신"
"모바일App, 신문기자, 취재기자, 편집기자"
"보습학원, 어학원, 영어학원, 입시학원, 학원강사"
"배차, 배송기사, 채팅상담"
"양식, 양식당"
"모바일, 모바일App, 바이럴마케팅, SNS마케팅"
"해피콜, 금융상담, 자동차보험, 보험상담, 전화상담"
"납품기사, 식품가공"
"식당, 홀매니저, 음식료, 일식당, 한식당"
"미술, 예체능, 미술강사, 퍼포먼스강사"
"프랜차이즈, 국내영업, 가맹점관리, 거래처관리, 대리점관리"
"프로덕션, 프로모션, 오프라인마케팅, 인터넷방송, 이벤트기획"
"접수·예약, 치과, 원무, 외래, 상담실장"
"모바일앱개발, 소프트웨어개발"
"환경, 3D설계"
"GUI, SM, SI개발, SI"
"계산서발행, 전표관리(경리나라 사용), 장부마감"
"전기설비, 소방, 전기배선"
"마트, 할인점, 고객응대, 진열관리, 캐셔"
"생산관리, 자동차부품"
"사업기획, 신사업기획, 전략기획, 상품기획, 영업기획"
장비영업
"화장품, 복리후생, 대기환경, 환경기능사, 수질환경"
"에너지, 문서관리, 행정, 송무담당, 문서관리"
진료보조
"일식, 일식당"
고객관리
식품가공
"학원 행정, 어학원, 유아교육, 문서관리, 문서작성"
"카페, 커피숍"
"SM, 솔루션, SI, 소프트웨어개발"
"창고관리, 패션, 재고관리"
"패션, 여성캐주얼디자인, 여성의류, 의류, 의상디자인"
"소프트웨어개발, 문서관리, 전산입력, 사이트관리, 자료조사"
"전기설비, 건축시공, 기계설계, 기계설비"
"네일, 예체능"
웨딩
"상하수도, 토목, 토목설계, 토목, 토목기사"
"Hardware, 사업기획, Firmware, RF"
"재고관리, 가스설비, 외자구매, 자재구매"
"제약영업, 의료기기영업, 제약, 의료기기, 국내영업"
"의료기기영업, 건강, 의료기기, 국내영업"
"회로설계, 유지보수, 포장기계, 유지보수, 통신설비"
"화장품, 기계조작"
"전기·전자, 정보통신·IT, 제품개발"
"베이커리, 음식료, 파티쉐, 카페, 제빵사"
"패션, SNS마케팅, 프로모션, 브랜딩, 바이럴마케팅"
"솔루션영업, 솔루션, BI, SI, 기술영업"
"상품입출고, 창고관리, 화장품, 재고관리"
"교육상담, 어학원, 학생관리"
카페
화장품
"데이터분석, 데이터파이프라인"
"학습지, 학습지교사, 교사, 과외교사, 회원모집상담"
"방역, 문서작성, 전산입력, 고객관리, 매출관리"
"공공디자인, 금속디자인, 인테리어디자인, 실내건축, 인테리어"
프론트
"유지보수, 고객지원, 접수·예약, 민원상담, 이메일상담"
화장품
"제약, 화장품"
"콘텐츠 디자인, SNS 콘텐츠, sns 컨텐츠, 브랜드 컨셉개발, 광고기획"
"광고기획, 광고대행, 광고디자인, 광고제작, 온라인광고"
회로설계
"전시디자인, 디자인, 멀티미디어디자인, 환경디자인"
"여성의류, 패션, 섬유디자인, 의상디자인"
"거래처관리, 의료기기영업, 바이오, 거래선개발관리, 제약"
"유통, 납품기사"
"실내건축, 인테리어디자인, 인테리어"
"중식, 중식당"
"전시디자인, 정보디자인, 무대디자인, 인테리어디자인, 전시기획"
"광고디자인, 옥외광고, 광고기획, SIGN, 광고제작"
"상품기획, 스타일리스트"
"매출 분석, 거래처관리, 상품기획, 영업기획, AMD"
"수출입계약, 전자, 수출입관리, 오더관리"
"자바, 보안컨설팅"
"렌탈, 택배, 중장비운전, 적재·하역, 대여"
"생산관리, 문서관리, 문서작성, 건설자재"
"요양보호사, 노인복지"
"자동차부품, 자동차"
"펌웨어, 의료기기"
"거래처관리, 솔루션, 영업기획, 영업전략, 가맹점관리"
"생활용품, 디지털디자인"
"상품입출고, 자동차부품, 외주관리, 자동차, 자재구매"
"품질보증, 검증, 의료기기, ISO"
"학습지, 학습지교사, 교사, 과외교사, 회원모집상담"
"외화번역, 영어"
건설자재
"전자상거래, 모바일디자인, 쇼핑몰, 오픈마켓, 소셜커머스"
"외화번역, 영어"
"토목설계, 토목설계"
소프트웨어개발
"감정, 커뮤니티, 소셜네트워크서비스(SNS), 포털"
"건강, 보건, 고객안내"
"골프장, 골프장클럽하우스, 생활체육"
"중식, 중식, 베이커리, 프랜차이즈"
"스포츠, 스포츠센터, 요가강사, 헬스트레이너, 휘트니스센터"
"양식당, 와인바, 퓨전푸드, 패밀리레스토랑, 양식"
"IPO, 시장조사, 바이오, 영양, 사업기획"
"뷔페, 고객안내, 중식, 서빙, 매출관리"
"화장품, 피부관리"
영어
"UI·UX기획, 전자상거래, 쇼핑몰, 오픈마켓"
어린이집
"관리회계, 자금관리, 재무분석, 재무회계, 결산"
"보습학원, 어학원, 영어학원, 입시학원, 학원강사"
방문교사
"음악, 댄서, 파트강사, 예체능, 댄스"
"SM, SI, 시스템분석, RPA"
"설비, 전기설비, 레미콘, 전기배선, 건설자재"
"관리회계, 전산입력, 편의점, 문서관리, 문서작성"
"한식당, 프랜차이즈"
"남성의류, 섬유, 여성의류, 의류, 패션"
"남성의류, 패션, 여성캐주얼디자인, 남성캐주얼디자인, 여성의류"
"의료기기영업, 병원영업, 해외마케팅, 대학병원, 기술영업"
"시공관리, 건축자재, 거래처관리, 납품영업, 건설자재"
"택배, 구급차기사, 운전기사, 보건"
"네트웍구축, 네트워크관리"
"2D디자인, 1원화, 애니메이션, 애니메이션, 원화디자인"
"프랜차이즈, 양식, 단체급식"
"네트웍구축, 네트워크관리"
"2D디자인, 애니메이션, 애니메이션, 배경디자인, 2D디자인"
"조립, 바이오, 생산관리, 의약, 제약"
"방송송출·송신, 토네이도, 문자그래픽"
"간호사, 수술실간호사, 응급구조사, 보건"
"매출관리, 프랜차이즈"
"소셜커머스, 쇼핑몰, 오픈마켓, 전자상거래, 브랜딩"
성형외과
"B2B, B2C, 유통영업, 전자상거래, 쇼핑몰"
"컨텐츠개발, e러닝, 교육기획, 교수설계, 시나리오작가"
"모바일기획, 제안·컨설팅, PM, 컨텐츠기획, 컨텐츠 제작"
"납품영업, 자재, 국내영업"
"물류센터, 창고관리, 물류관리, 재고관리, 배송"
"특수체육, 사회복지, 심리상담"
"판매영업, 영업기획, 자동차, 자동차영업"
"구내식당, 단체급식, 단체급식"
"생산관리, 기계, 기계조립, 메카트로닉스, 건설기계"
"기계설비, 기계조립"
"시공관리, 브랜드, 실내건축, 인테리어, 인테리어 현장"
"아동복디자인, 잡화디자인, 품질관리자, 여성캐주얼디자인, 생산.공정관리자"
"치과, 치위생사"
"수술실보조, 피부과, 진료보조"
"식품, 와인바, 음식료, 카페, 양식"
"조합, 고객응대, 식품판매, 재고관리, 진열관리"
"하드웨어, PC유지보수, 자산관리, 컴퓨터, AS"
"기계, 기계조립, 메카트로닉스, 건설기계, 기계설비"
치과
"조직관리, 사업관리, 스토리지, 유지보수, PM"
"전자상거래, 쇼핑몰, 오픈마켓, 소셜커머스, UI·UX기획"
"방역, 고객관리"
"도배·도색·벽지, 실내건축, 조명, 자재, 리모델링"
"베이커리, 음식료, 카페, 제과제빵점, 제빵사"
"네트워크보안, 방화벽, 네트워크관리, 네트워크관리, 방화벽"
"인터넷방송, 인터넷교육, 커뮤니티, 인터넷부동산"
"자동차부품, 자동차정비, 자동차튜닝"
세무기장
광고대행
"전자상거래, 쇼핑몰, 오픈마켓, 소셜커머스"
"생산관리, 자동차부품"
"인테리어디자인, CAD, 실내건축, 인테리어디자인, 인테리어"
양식
"전산입력, 사이트관리, 복리후생, 자료조사, 비품관리"
"학원강사, 어학원, 영어학원, 보습학원, 파트강사"
"일식당, 프랜차이즈, 일식, 일식, 일식"
"베이커리, 파티쉐, 메뉴개발, 제빵사"
"유지보수, 하드웨어, 컴퓨터, 유지보수"
"자동차튜닝, 자동차정비"
"건축설계, CAD, 검측, 5d"
"조립, 전자, 전기, 회로"
"건축설계, 인테리어디자인, CAD, 실내건축, 인테리어디자인"
"사회복지, 단체급식"
"중식, 메뉴개발, 중식, 메뉴개발, 양식"
"자동차튜닝, 자동차정비"
"메이크업, 스튜디오, 헤어디자인"
"전단지디자인, 디자인, 옥외광고, 현수막디자인"
"메카트로닉스, 자동화설비, 국내영업, 장비영업, 기술영업"
국내영업
"네트워크관리, 네트웍구축, 서버구축, 네트워크관리, 서버구축"
"공공디자인, 디자인, 경관설계, 환경디자인, 환경디자인"
"통계·분석, 문서관리, 문서작성, 전산입력, 서무"
"브랜딩, 시장분석, 언론홍보, 기업홍보, 이벤트기획"
"거래처관리, 가맹점관리, 거래선개발관리, 고객관리, 광고대행"
"건축설계, 건축설계, 리모델링"
"문서관리, 문서작성, 전산입력, 사출, 생산관리"
"거래처관리, 가맹점관리, 거래선개발관리, 고객관리, 광고대행"
"영어학원, 유아교육, 영어"
"전산입력, 문서관리, 문서작성"
"도금, 납품영업"
"의류, 상품입출고"
"모바일앱개발, 소프트웨어개발"
"행정, 대학(교)교직원, 교직원, 대학교, 조교"
"캐드원, 자동화설비"
"전단지디자인, 유통, 디지털디자인, POP, 현수막디자인"
"의료기기, 고객관리"
"웨딩, 이벤트"
"베이커리, 제과제빵점, 제빵사"
"교정, 촬영기자, 언론사, 출판기획, 취재기자"
"웨딩, 이벤트"
"신문기자, 컨텐츠"
"A·S수리, 중정비, 경정비"
"예약·발권, 호텔사무, 프로모션, 광고기획, 기술영업"
"수입자동차영업, 신차영업, 수입차자동차, 자동차딜러, 자동차"
"육상운송, 해상무역, 보세운송, 포워딩, 포워딩"
"생활체육, 스포츠센터"
"전자회로, 재고관리, 전자, PCB, 자재구매"
"오픈바이저, 슈퍼바이저, 프랜차이즈"
납품
"상품입출고, 창고관리, 재고관리, 물류센터, 여성포털"
"통신, 통신설비"
"자동차튜닝, 판금, A·S수리, 자동차, 자동차부품"
"생활체육, 스포츠센터, 축구코치, 축구교실, 축구클럽"
"소비재, 판매관리"
"거래처관리, 거래선개발관리, 쇼핑몰, 거래처관리, 국내영업"
"CAM, NC, CNC"
"전산입력, 문서관리, 문서작성"
부동산투자
"재정설계, 보험영업, 생명보험, 화재보험, 보험영업"
"메뉴개발, 메뉴개발, 프랜차이즈"
"카페, 한식"
"생산관리, 검증, FPCB, 설비, PCB"
"전자회로, 회로설계, 회로설계, FPCB, Hardware"
"조합, 환경측정, 대기환경"
"해피콜, 병원상담, 온라인광고, 질환상담, 텔레마케팅"
"관리회계, 거래처관리, 석유화학, 인사총무, 근태관리"
"기계설계, 기계설비, 밸브, 자동화설비, 메카트로닉스"
"할인점, 유통, 유통관리, 국내영업"
"조립, 전기제어, 설비, 전기설비, 회로"
"순찰, 매장·시설감시, 구급차기사, 보안, 경비"
"회계법인, 결산, 더존, 법인결산, 부가세신고"
"전자회로, FPCB, Hardware, 전기회로, PCB"
"데이터관리, 시스템운영, 서버구축, 네트워크관리, 정보보안"
"할인점, 유통, 유통관리"
"생산관리, 전자"
"종합병원, 단체급식, 한식"
"웹표준·웹접근성, GUI, 3D디자인, 애니메이션, 게임디자인"
"품질보증, 반도체"
"기술지원, 하드웨어, 설치, 펌웨어, 컴퓨터"
"기계, 자동화설비, 기계조립, MCT, PLC"
"기계, 기계조립, 자동화설비, 3D설계, 기구설계"
"기계, 기계조립, 자동화설비, CNC, MCT"
"관리회계, 회계감사, 자동차부품, 자동차정비, 원가회계"
"상품입출고, 재고관리, 재고관리, 프랜차이즈, 식품"
"목재, 연마, 절단, 설비"
"관리회계, 부가세신고, 4대보험, 세무컨설팅, 부가세신고"
"기구설계, 3D설계, 기계설계, 제품개발, 기계설비"
"관광, 프론트, 호텔리어, 객실영업, 호텔세일즈"
"소방, 전기설비, 소방·방재"
"유아의류, 패션, 리테일MD, 매출관리, 상품기획"
"물류, 백화점, 쇼호스트, 유통, 유통관리"
소프트웨어개발
"전기설비, 기술지원, A·S수리, 조립"
"공인중개사, 오피스텔, 부동산중개, 부동산관리, 부동산컨설팅"
"양식, 메뉴개발, 식음, F&B, 호텔"
"교육상담, 학습지교사, 방문교사, 학생관리"
"교육상담, 학습지교사, 방문교사, 학생관리"
"의류판매, 백화점, 의류매장, 잡화판매, 재고관리"
"입시학원, 보습학원"
전시기획
"메뉴개발, 카페, 커피숍"
"양식, 카운터, 양식당, 서빙"
"음식료, 프랜차이즈, 한식당, 한식, 한식"
"바텐더, 와인바, 음식료, 양식당, 서빙"
"배송, 주문, 문서관리, 입출고관리"
"전시디자인, 건축설계, 전시기획, 전시디자인"
"체험, 문화예술교육사, 교육기획, 교육"
학원운영
"학원강사, 보습학원"
"학원운영, 입시학원, 영어, 일반학원, 고시학원"
"전기자전거, 전동킥보드, 전동스쿠터, 숍마스터, 유통"
"예식장, 웨딩홀연회부, 서빙"
"호텔리어, 호텔사무, 프론트, 호텔리어, 캐셔"
"측량, 측량, 사업기획, 경영기획"
"스토리지, 거래처관리, 영업기획, 영업전략, 하드웨어"
"SNS마케팅, 프로모션대행, 광고기획, CF, 온라인광고"
"모바일앱개발, 솔루션영업, 솔루션, 시스템영업, 기술영업"
"내부감사, 외부감사, 의료기기"
"쇼핑몰, 전자상거래, B2C, 시장분석, 시장조사"
"모바일앱개발, 솔루션, 영상제작, 소프트웨어개발"
동물병원
"기구설계, 전장, 전자"
"모바일앱개발, 성우, 리포터, 솔루션, 시스템분석"
"신사업기획, 사업기획, 전략기획, 의료기기, 경영기획"
"배송, 배차, 배송기사, 배차, 보세운송"
"수출입계약, 영업기획, 해외마케팅, 수출입관리, 수출입계약"
"항공운송, 항공무역, 육상운송, 해상무역, 보세운송"
"모바일앱개발, 솔루션, 소프트웨어개발, WAS"
"공인중개사, 분양상담, 부동산중개, 부동산컨설팅, 부동산개발"
"품질보증, 검증, HACCP, 식품가공"
하우스키핑
"조사분석, 컨설팅"
"모바일앱개발, 데이터관리, 인터페이스, 솔루션, DBMS"
"CCTV, 네트웍구축, 통신, 배관·케이블, 통신설비"
"남성의류, 패션, 물류센터, 상품입출고, 재고관리"
"사회복지, 국제개발협력, 장애인복지"
"시공관리, 인테리어"
"자동제어, 전기제어, 제어, HMI, PLC"
"판매, 유통, 배송기사, 납품기사"
동물병원
"목재, 부엌가구, 가구, 국내영업"
"판매, 통신기기대리점, 컴퓨터기기판매, 유통"
"전산입력, 사이트관리, 식품MD, 상품기획, 쇼핑몰"
"백화점, 의류매장, 고객응대, 매출관리, 샵마스터"
"조립, 품질보증, 반도체장비, 디스플레이, ISO"
"자재, 재고관리, 상품입출고"
"촬영기자, 시각디자인"
"사회복지, 생산관리"
"시공관리, 건설, 측량, 토목"
"네트워크보안, 보안ASP, 정보보안, 방화벽, 자동차부품"
"건축설계, 기술사, 감리, 건축, 건축설계"
"문서작성, 문서관리"
"시장조사, 프로모션, 카페·블로그관리, 건강식품, SNS마케팅"
"생활복지, 사회복지, 청소년복지, 방문요양, 요양보호사"
"접수·예약, 원무, 외래, 산부인과"
"인터넷교육, 커뮤니티, 컨텐츠"
"이벤트대행, 온라인광고, 광고디자인, 광고기획, 광고제작"
"유지보수, 유지보수, 기계조작, 설치, 기술지원"
"시스템운영, 시스템운영"
"감속기, 분쇄기, 자동화설비, 기계조립, 기계설계"
"편집, 출판기획, 전자출판, 출판, 만화디자인"
"상품입출고, 재고관리, 구매계약, 자재구매, 외자구매"
"식품가공, 배너광고"
"시각디자인, 패키지디자인"
"영상제작, 자동차정비, SNS마케팅, 콘텐츠기획"
"전기설계, 영업기획, 영업전략, 전기공사, 전기설비"
"공조냉동, 기계, 설비, 시장분석, 시장조사"
"소셜네트워크서비스(SNS), 서버관리, 클라이언트, 핀테크, HTTP"
"자동차정비, 중정비, 카센터, 자동차정비"
"고객지원, 자동차"
"대기환경, A·S수리, 기술지원, 설치, 유지보수"
중식당
"메카트로닉스, 기구설계, 3D설계, 프랜차이즈, 메카트로닉스"
"메카트로닉스, 화공, 품질보증, 생산관리, 검증"
"한자, 한자강사, 중국어, 중국어, 중국어"
"홈쇼핑, 유통, 홈쇼핑, MD, 상품기획"
상품기획
"피부관리, 피부관리사, 피부과"
"해피콜, 콜센터, 접수·예약, 단순안내, 게시판관리"
"베이커리, 파티쉐, 메뉴개발, 제과제빵점, 제빵사"
"렌탈, ERP운용, 계산서발행, 접수·예약, 전화상담"
"중식, 양식, 프랜차이즈, 음식료, 한식"
"한식당, 프랜차이즈, 한식"
"소셜커머스, 쇼핑몰, 오픈마켓, B2C"
"하드웨어, 컴퓨터"
"거래처관리, 의료기기영업, 영업기획, 영업전략, 매출관리"
"품질보증, 제본, 인쇄, 출력, 복사"
PM
"메뉴개발, 베이커리, 제빵사, 파티쉐"
"홈쇼핑, 2D디자인, POP"
"상담실장, 총괄실장, 피부과"
"피부관리, 피부과"
"디자인학원, 예체능"
"상품기획, 전자상거래, 쇼핑몰, 브랜드기획, 전략기획"
"건설, 구조설계, 건축설계"
"홈쇼핑, 정보디자인, 디지털디자인, 디지털디자인"
"납품영업, 식품가공"
"육류, 수입육, 배송기사, 식품 포장, 식품가공"
"발전기, 공압기기, A·S수리, 건설기계"
"설비, 소방, 소방·방재"
"조립, 밀링, 기계, 기계조립, 기계조작"
"B2C, 전화상담"
"품질보증, QA, QC, 공작기계 부품 QC 우대, CNC"
"메뉴개발, 베이커리, 패스트푸드, 메뉴개발, 양식"
생산관리
"전산입력, 행정, 문서관리, 문서작성, 애니메이션"
"도장, 금속, 건설자재, 판금"
"전자, 기구설계, 전기기술"
"전기설계, 자동제어, 제어"
"상품입출고, 창고관리, 재고관리, 상품입출고, 재고관리"
"학원운영, 교육상담, 어학원, 유치원, 학생관리"
여행사
"임원비서, 수행비서"
"시공관리, 건축설계, 공조냉동, 건축설비, 전기설비"
"토목, 토목설계, 토목설계, 토목기사, 토질"
"온라인광고, 광고디자인, 광고기획, 광고제작, 광고대행"
"온라인광고, 광고디자인, 광고기획, 광고제작, 광고대행"
"바이럴마케팅, 온라인광고, 광고디자인, 광고기획, SNS마케팅"
"캐드원, 자동화설비, 메카트로닉스, 기계설계, 플랜트"
영어
"부동산운용, 부동산관리, 지게차운전"
"무역, 수출입, 항공수출, 해상수출, 수입운송"
"PCB, 신소재, 기술지원, 기술영업, 반도체"
"스토리지, 서버구축, 시스템운영, 하드웨어, 펌웨어"
"PCB, 신소재, 화공, 검증, 화학"
"의약, 제약, 국내영업"
"부동산운용, 부동산관리"
"고객관리, 제약영업, 보험사고, 의료기기영업, 보험상담"
화장품
"유지보수, A·S수리, 기술지원, 유지보수, 설치"
"솔루션, spring boot, 클라이언트, SI개발, Java"
"시스템운영, 정보보안, 기술지원, 소프트웨어개발, 솔루션"
"화학, 재고관리, 매출관리, 고객관리"
"헤어샵, 헤어디자인"
"만화디자인, 출판기획, 웹툰, 교정, 인터넷만화"
"고객관리, 이벤트"
"베이커리, 양식, 음식료, 카페, 양식당"
"광고기획, 광고대행, 광고디자인, 광고제작, 온라인광고"
"유지보수, 유지보수, 기계조작, 설치, AS"
"예체능학원, 학원강사, 입시학원, 회원모집상담, 음악"
"섬유디자인, 의상디자인, 디자인, 리테일MD, 패션디자인"
"환경, 시설점검, 전기점검, 전기설비, 환경관리"
"피부관리, 성형외과, 간호조무사, 피부과, 수원역"
프랜차이즈
금형
"건축설계, 건축설계, 캐드원, 감리"
"화장품, 사출"
"제본, 인쇄, 출력, 복사, 인쇄·출력"
프랜차이즈
병원
"매출관리, 판매관리, 잡화판매, 재고관리, 고객응대"
경영기획
"룸메이드, 호텔"
"전산입력, 홍보대행, 문서관리, 문서작성, 문서작성"
"피부관리, 마사지"
"안과, 수술실보조"
"jsp, 프레임워크, Java, 소프트웨어개발"
"생활체육, 특수체육, 사회복지, 물리치료사, 운동재활"
샤시·창호
"행정, 비품관리, 실내건축, 행정, 문서작성"
"영화제작, 영화기획사"
"디지털마케팅, 프로모션, 제휴마케팅, 키워드광고, SNS마케팅"
"IDC, 서버구축, 시스템운영, 네트웍구축, 통신"
"전장설계, 전기설계, 전기제어, PLC"
"판매영업, 샵마스터, 매출관리, 백화점, 판매관리"
"고객관리, 분양대행, 부동산컨설팅, 토지개발, 고객지원"
"문서작성, 상표담당, 패션, 컴플라이언스, 사내변호사"
"화장품, 시장조사, 해외마케팅, 바이어개발, 영어"
"물류관리, 물류센터, 육상운송, 항공운송, 해상운송"
"렌터카, 렌탈영업, 전화상담, 국내영업"
"전산입력, 창고관리, 의약, 문서작성, 제약"
"빌딩, 상가, 부동산중개, 부동산서비스, 사무실"
"전산입력, 문서관리, 문서작성, 기계설비"
"성형외과, 치과, 키워드광고, 바이럴마케팅, SNS마케팅"
"SNS마케팅, 카페·블로그관리, 광고기획, 온라인광고, 키워드광고"
"기술지원, 무역업"
"기업홍보, 디지털마케팅, 남성의류, 영상제작, 프로모션"
"마트, 거래처관리, 적재·하역, 식품영업, 납품기사"
"디지털마케팅, 브랜드기획, 항공사, 광고기획, 제휴마케팅"
"제조, 떡집, 떡, 식품판매"
"거래처관리, 항공사, 영업기획, 가맹점관리"
"전산입력, 문서관리, 문서작성, 사무용가구, 가구"
"디지털마케팅, 항공사, 프로모션, 오프라인마케팅, 제휴마케팅"
"토목, 상하수도, 토목설계, 토목설계, 토목"
"보험영업, 생명보험, 손해보험, 자동차보험, 화재보험"
"관광, 호텔, 호텔리어, 거래선개발관리, 거래처관리"
"펌웨어, 펌웨어, 소프트웨어개발, 기술지원"
"토목, 토목, 토목기사"
"남성의류, 패션, 골프웨어디자인, 섬유공학, 남성캐주얼디자인"
"소셜커머스, 쇼핑몰, 오픈마켓, 모바일디자인, UI·UX기획"
웨딩
"농업, 농림·축산연구, 식물관리, 생육, 재배사"
"거래처관리, 수출입계약, 수출입관리, 수출입계약, 통관"
"영어학원, 예체능학원, 영어, 예체능"
"예체능학원, 예체능"
성형외과
"중식당, 중식, 서빙"
"건설안전, 산업안전"
"쇼핑몰, 의류판매, VMD"
"전기설계, 전기제어, 전기회로, HMI, PLC"
기술지원
"공조냉동, 문서관리, 문서작성, 전산입력"
"검증, 선박, 조선"
"이벤트, 프로모션대행, 광고기획, 바이럴마케팅, 이벤트기획"
학원강사
"인큐베이팅, 바이럴마케팅, IT컨설팅, 경영컨설팅"
"베이커리, 프랜차이즈, 카운터"
커피숍
"모바일App, 아이폰"
"온라인광고, 광고기획, 맥디자인, 전시디자인, 광고대행"
채권
데이터분석
"분양, 부동산운용, 부동산관리, 모델하우스, 부동산투자"
"패션, 고객응대, 재고관리, 진열관리, 판매관리"
"생활체육, 노인체육, 유아체육, 예체능, 스포츠센터"
IT컨설팅
"시공관리, CAD, 실내건축, 인테리어, 리모델링"
"식음료, 커피제조, 카페, 메뉴개발, 베이커리"
"디자인, 문서관리, 행정, 자산관리, 더존"
납품기사
"모바일디자인, 키워드광고, 쇼핑몰"
국내영업
"전자상거래, 쇼핑몰, 오픈마켓, 소셜커머스"
소프트웨어개발
"패션, 납품영업, 의류, 직물·우븐·데님"
"CAD, 실내건축, 조명, 인테리어디자인, 인테리어"
"유통관리, 판매관리, 면세점, 식품판매, 재고관리"
"B2B, 디지털마케팅, 상품기획, 프로모션, 브랜딩"
네트워크관리
"네트웍구축, 네트워크관리, 통신"
"신사업기획, 사업기획, 전략기획, 전략기획, 시각디자인"
"영어학원, 영어"
"바텐더, 소믈리에, 호텔, 호텔, 메뉴개발"
"잡화디자인, 패션, 주얼리디자인, 악세사리디자인, 악세사리디자인"
"스포츠, 스포츠마케팅"
"SI, SM, SI개발, 소프트웨어개발, 솔루션"
"간호, 간호조무, 원무, 코디네이터, 진료보조"
"콘텐츠마케팅, SNS마케팅, 콘텐츠기획, 바이럴마케팅, 디지털마케팅"
"카페, 제과제빵점, 커피숍"
"솔루션영업, 솔루션, SI, 소프트웨어개발"
"기계설계, 3D설계, 기구설계, 2D설계"
"패키지디자인, 잡화디자인, 아바타디자인, 2D디자인, 가구디자인"
"문서관리, 더존, 문서작성, 전산입력, 국내영업"
"플랜트, 시공관리"
"호텔리어, 호텔, 호텔 예약업무, 컨시어지, OTA 관리"
"소프트웨어개발, CRM, SI"
"반도체장비, 생산관리, 생산기술"
