회사명,공고명,"채용 형태(경력, 신입)",학력,직장 위치,키워드,마감 기한,공고 링크
주식회사 가치브라더,"[2023년 하반기 공개채용] 광고디자이너 - 신입, 경력직 채용 / 주식회사 가치브라더",신입·경력,학력무관,서울,"SB제작, 마이크로랜딩페이지구축, 광고기획, 광고대행, 광고디자인",~12/20(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43487244?Oem_Code=C1&logpath=1&stext=&listno=20
㈜지오영 네트웍스,(주)지오영네트웍스 의약품 영업직 채용,경력무관,초대졸↑,인천 부평구 외,"고객관리, 제약영업, 거래처관리, 납품영업, 유통",~12/25(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43503141?Oem_Code=C1&logpath=1&stext=&listno=421
에스케이네트웍스서비스㈜,국방 네트워크운용 엔지니어 구성원 영입(단기계약직),신입·경력,고졸↑,전국,"시스템운영, 수주 공사, 서버구축, 통합망 유지보수",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43503111?Oem_Code=C1&logpath=1&stext=&listno=422
㈜에프앤에프,"2023년 F&F (MLB, Discovery) 전환형 인턴 채용",신입,학력무관,서울 강남구,"잡화디자인, 패션, 소싱, 상품기획, 섬유",~12/18(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43503090?Oem_Code=C1&logpath=1&stext=&listno=423
㈜블루버드,법무팀 경력직 채용,경력2년↑,대졸↑,서울 강남구,"Phone, 모바일, 사내변호사, PDA, 소송·민사·등기",~01/06(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43503001?Oem_Code=C1&logpath=1&stext=&listno=424
㈜세종아이티엘,공공기관 상주 시스템 엔지니어 채용 (서초역),경력무관,학력무관,서울 서초구,"시스템운영, 네트웍구축, 시스템운영, 서버구축, 시스템분석",~01/06(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43502994?Oem_Code=C1&logpath=1&stext=&listno=425
㈜멀티캠퍼스,IT개발자 대규모 채용 (정규직),경력3년↑,대졸↑,서울 강남구,"기업교육, 학원강사, 시스템분석, 어학원, 아키텍처",~01/31(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43502979?Oem_Code=C1&logpath=1&stext=&listno=426
㈜피제이전자,(주)피제이전자 품질검사원(수입/출하) 모집,경력무관,학력무관,경기 부천시,"전자회로, 품질보증, 전자, 품질보증, Hardware",~01/06(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43502978?Oem_Code=C1&logpath=1&stext=&listno=427
㈜승일,SUN그룹 국내영업(연료관) 인천지역 채용,신입·경력,고졸↑,서울 서초구 외,"거래처관리, 납품영업, 제강, 거래선개발관리, 매출관리",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43502960?Oem_Code=C1&logpath=1&stext=&listno=428
㈜오상헬스케어,(주)오상헬스케어 경영지원본부 자금부 경력직 채용,경력4년↑,초대졸↑,경기 안양시,"바이오, 자금관리, 결산, 건강, 입출금관리",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43480546?Oem_Code=C1&logpath=1&stext=&listno=429
