기업명,평균 학점,평균 토익점수,평균 외국어 개수,평균 자격증 개수,평균 해외경험 횟수,평균 인턴경험 횟수,평균 수상 횟수,평균 봉사 횟수
현대미포조선,3.65,788.0,1.0,1.8,1.3,1.2,1.6,1.2
신한카드,3.66,805.0,1.1,2.0,1.1,1.2,1.9,2.4
GS리테일,3.6,824.0,1.3,2.2,1.3,1.2,1.5,1.8
르노삼성자동차,3.55,802.0,1.2,2.0,1.2,1.5,1.7,1.4
삼성모바일디스플레이,3.74,787.0,1.4,2.1,1.4,1.7,2.3,1.0
삼성SDI,3.71,805.0,1.2,2.0,1.3,1.2,1.8,1.7
메리츠화재해상보험,3.64,798.0,1.0,2.1,1.2,1.4,1.7,1.6
삼성엔지니어링,3.6,856.0,1.1,2.0,1.3,1.3,1.8,1.5
에이치제이중공업,3.66,830.0,1.0,1.8,1.2,1.7,2.2,1.8
삼성광주전자광주1공장,3.38,857.0,1.0,2.3,1.6,4.0,2.0,1.0
삼성전기,3.69,833.0,1.3,2.1,1.2,1.1,1.5,2.0
비씨카드,3.62,816.0,1.0,2.1,1.1,1.3,1.8,1.9
현대위아,3.69,841.0,1.2,1.9,1.2,1.2,1.6,1.4
엘에스전선,3.57,822.0,1.2,2.0,1.2,1.1,1.3,1.9
부산은행,3.74,822.0,1.1,2.3,1.0,1.0,1.3,1.5
한화솔루션,3.65,852.0,1.6,1.7,1.3,1.2,1.3,1.3
현대캐피탈,3.59,748.0,1.1,2.0,1.2,1.6,1.5,1.9
신한라이프,3.66,769.0,1.2,2.0,1.1,1.4,2.0,1.7
케이비증권,3.74,829.0,1.0,2.0,1.2,1.0,2.0,1.5
동양생명보험,3.57,698.0,1.1,1.9,1.2,1.3,1.6,2.0
대구은행,3.65,811.0,1.2,2.3,1.1,1.1,1.7,1.7
에이비엘생명보험,3.59,800.0,1.5,2.1,1.2,1.1,1.9,1.4
대신증권,3.61,831.0,1.2,2.3,1.2,1.3,1.4,1.8
한국타이어앤테크놀로지,3.67,836.0,1.3,2.1,1.1,1.3,2.2,1.7
금호석유화학,3.72,825.0,1.3,2.1,1.1,1.1,1.7,1.5
케이티앤지,3.71,833.0,1.0,2.1,1.3,1.3,2.3,1.4
현대로템,3.63,785.0,1.2,2.2,1.4,1.2,1.4,1.4
삼성카드,3.63,812.0,1.1,2.1,1.2,1.5,1.8,1.7
흥국생명보험,3.61,766.0,1.2,2.2,1.1,1.3,1.5,1.7
대우자동차판매,3.49,757.0,1.2,2.0,1.3,1.0,1.0,1.0
KCC,3.69,840.0,1.4,2.1,1.3,1.2,1.3,1.4
롯데하이마트,3.6,814.0,1.3,2.0,1.5,1.3,1.4,1.9
대림,3.7,881.0,1.0,2.2,1.2,1.0,2.0,1.4
현대두산인프라코어,3.63,804.0,1.2,2.2,1.2,1.2,1.5,1.3
한화에어로스페이스,3.61,816.0,1.4,2.2,1.2,1.1,1.4,1.2
케이지스틸,3.59,805.0,1.1,1.9,1.7,1.1,1.9,1.2
현대코퍼레이션,3.71,859.0,1.3,1.7,1.5,1.4,1.3,1.3
D&O,3.63,806.0,1.1,2.2,1.3,1.3,1.5,2.0
고려아연,3.52,801.0,1.0,2.2,1.2,2.3,1.7,1.7
미래에셋생명보험,3.55,838.0,1.0,2.1,1.1,1.8,1.4,1.4
삼성에스디에스,3.65,818.0,1.1,2.0,1.1,1.1,1.7,1.5
금호건설,3.61,845.0,1.0,1.9,1.4,1.0,1.5,1.8
한화건설,3.52,812.0,1.0,2.0,1.3,1.2,2.3,1.5
두산건설,3.65,807.0,1.0,2.2,1.0,1.3,1.4,1.6
삼천리,3.68,838.0,1.0,2.2,1.3,1.0,1.3,1.0
삼성증권,3.69,846.0,1.2,2.3,1.1,1.3,1.8,1.4
동부건설,3.6,815.0,1.3,2.3,1.1,1.0,3.6,1.8
대한해운,3.64,853.0,1.0,2.4,1.0,1.4595356134123207,1.5,1.0
대한전선,3.58,806.0,1.0,2.1,1.3,1.5,1.5,1.8
LG 이노텍,3.68,809.0,1.1,1.9,1.1,1.0,1.5,1.2
코오롱,3.71,843.0,1.1,1.9,1.4,1.3,2.3,1.3
한국바스프,3.6,811.0,1.4,2.2,1.4,1.6,1.4,1.5
에이치디씨현대산업개발,3.53,795.0,1.5,2.1,1.2,1.8,4.0,1.3
KP케미칼,3.75,736.0,1.189713600391304,2.0,1.2845268351373083,1.0,2.0,1.0
OCI,3.65,849.0,1.3,2.4,1.3,1.1,1.5,1.3
유코카캐리어스,3.56,867.0,1.5,3.2,1.0,2.0,3.0,1.5
미래에셋증권,3.61,850.0,1.4,2.1,1.4,1.1,1.0,1.3
BGF리테일,3.69,834.0,1.1,2.3,1.2,1.2,1.8,1.8
쌍용건설,3.58,830.0,1.160565254872252,2.1,1.5,1.5,1.4,1.5
태광산업,3.63,866.0,1.5,2.3,1.0,1.0,1.0,2.7
동우화인켐,3.71,803.0,1.0,2.0,1.5,1.2,2.1,1.6
호텔롯데,3.66,772.0,1.3,2.2,1.2,1.4,1.5,1.7
금호타이어,3.72,820.0,1.3,1.8,1.1,1.0,1.9,1.5
SK브로드밴드,3.64,829.0,1.1,1.9,1.2,1.3,2.9,1.9
신한투자증권,3.6,803.0,1.4,2.8,1.2,1.3,1.5,1.3
에스케이마리타임,3.75,866.0,1.0,2.1,1.5,1.0,1.8397803116131055,1.0
농심,3.72,817.0,1.1,2.2,1.1,1.1,1.8,1.6
현대카드,3.6,807.0,1.1,2.0,1.2,1.5,1.9,1.9
