기업명,평균 학점,평균 토익점수,평균 외국어 개수,평균 자격증 개수,평균 해외경험 횟수,평균 인턴경험 횟수,평균 수상 횟수,평균 봉사 횟수
유니온,3.57,744.0,1.1588506463123078,2.8,1.0,1.0,1.7704943951177305,2.0
크루셜텍,3.65,759.0,1.1,2.0,1.3,1.4,1.5,1.8
일진에너지,3.33,570.0,1.0,1.7,1.0,1.0,1.6781131731238976,1.6996770505422938
디지텍시스템스,3.52,713.0,1.3,2.0,1.1,1.3,2.1,1.6
코스모화학,3.55,950.0,1.5,2.7,1.0,2.0,1.7,2.8
네오플,3.6,753.0,1.0,2.1,1.2,2.0,2.4,1.7
씨티알,3.77,791.0,1.0,1.8,1.3,1.4036815827663276,2.0,1.0
애경그룹,3.61,834.0,1.1,2.5,1.3,1.3,2.1,1.9
동성하이켐,4.03,817.0,1.0,2.3,1.0,1.2919735214743409,2.0,1.921897125946151
황금에스티,3.5,710.0,1.1468483863926981,2.0,1.4,1.0,1.0,2.7
에드워드코리아,3.35,738.0,1.8,2.2,1.2,1.0,1.8,1.3
성주그룹,3.69,831.0,1.2,1.6,1.3,1.9,1.5,1.3
신한다이아몬드공업,3.59,792.0,1.1,2.0,1.4,1.3,2.1,2.0
비와이엔블랙야크,3.35,662.0,1.0,1.7,1.0,1.4,1.0,2.3
한국가스기술공사,3.29,691.0,1.0,2.4,1.3,1.0,1.6,1.5
호텔롯데 롯데월드,3.67,851.0,1.8,1.6,2.5,1.1,1.7,2.3
지지무역,3.63,888.0,1.0,1.8,1.1,1.1,1.8,2.1
크레버스,3.63,836.0,1.2,2.2,1.4,1.2,2.1,1.9
다산네트웍스,3.46,764.0,1.1,2.7,1.2,1.3,1.9,2.2
캠시스,3.68,570.0,1.0,2.3,1.3,1.3,3.0,1.8
베네통코리아,3.62,739.0,1.167423689112029,1.8,1.3,1.4681285412040121,1.5,1.6
액센츄어,3.67,788.0,1.0,2.0,1.1,1.0,1.3,1.0
신한,3.69,837.0,1.1794259490316388,2.0,1.6,1.0,2.3,2.0
동서기공,3.48,595.0,1.0,1.5,1.1,1.0,2.3,2.6
생고뱅이소바코리아,3.51,776.0,1.0,2.6,1.0,1.5153896440583143,1.0,1.0
한국과학기술정보연구원,3.81,742.0,1.2,2.3,1.3,1.8,1.9,1.7
한국농수산식품유통공사,3.61,809.0,1.1,2.2,1.3,2.7,1.9,2.3
모아텍,3.57,754.0,1.3,1.4,1.2,1.4896108606832403,1.7704943951177305,1.775866790680759
서원인텍,3.44,704.0,1.2,2.4,1.4,3.0,1.7,1.5
한미반도체,3.52,822.0,1.1,1.9,1.4,1.6,2.1,1.9
위메이드,3.54,791.0,1.0,2.5,1.3,2.2,1.7,2.0
한국휴렛팩커드,3.61,861.0,1.1,2.0,1.2,1.7,1.3,2.0
웅진폴리실리콘,3.57,754.0,1.0,2.1,1.3,1.0,3.0,1.5
테크엘,3.44,861.0,1.3,2.1,1.7,2.0,1.3,1.6
오성엘에스티,3.59,718.0,1.0,2.1,1.5,1.0,2.8,2.0
한국가스안전공사,3.69,805.0,1.0,2.4,1.2,1.0,2.3,1.8
(재)한국항공우주연구원,3.67,721.0,1.3,2.3,1.4,2.0,2.1,2.0
한국전자통신연구원,3.7,754.0,1.0,2.4,1.2,1.3,1.9,2.1
스태츠칩팩코리아,3.6,820.0,1.1,2.2,1.3,1.4,1.8,2.3
현대경제연구원,3.71,778.0,1.0,2.3,1.0,1.8,2.6,1.8
영진약품,3.54,769.0,1.2,2.2,1.2,1.0,1.6,1.5
부광약품,3.6,791.0,1.0,2.3,1.1,1.4767214689957033,2.3,1.6
SUN&L,3.43,788.0,2.0,2.4,1.4,2.0,1.5,1.0
팬택씨앤아이,3.59,829.0,1.0,2.3,1.1,2.0,2.5,1.8
풀무원푸드앤컬처,3.68,721.0,1.3,2.5,1.1,2.0,1.9,2.0
덕신하우징,3.56,761.0,1.0,2.1,1.3,1.7,1.7666451775346543,1.5
유니슨,3.65,806.0,1.3,2.8,1.4,1.4552391495164752,1.3,2.3
유비쿼스,3.6,796.0,1.3,2.1,1.3,1.0,1.3,1.8
DE&T,3.51,643.0,1.0,1.9,1.0,1.5153896440583143,2.4,2.5
카카오엠,3.48,800.0,1.3,2.0,1.3,2.3,2.3,2.1
부국증권,3.57,853.0,1.7,2.4,1.2,1.4896108606832403,1.7704943951177305,3.0
동국실업,3.55,769.1378357302078,1.1554214291924192,1.8,1.7,1.4982037884749317,2.0,1.7695176456692203
삼호개발,3.35,670.0,1.5,2.6,1.7,1.5,1.0,2.0
케이아이씨,3.39,666.0,1.1279876922333112,2.1,1.5,1.5669472108084617,1.0,1.0
한국환경산업기술원,3.68,816.0,1.2,2.1,1.3,1.7,2.4,1.9
경북대학교병원,3.84,776.0,1.3,2.4,1.6,2.5,1.3,1.5
이엘케이,3.44,720.0,1.5,1.8,1.6,1.0,1.0,1.7
한웰,3.67,845.0,1.4,1.8,1.3,2.3,1.6,1.3
액토즈소프트,3.63,758.0,1.7,2.3,1.2,1.0,1.3,1.3
 멜파스,3.59,793.0,1.0,2.0,1.4,1.5,1.5,1.3
지오다노,3.72,762.0,1.0,2.0,1.1,2.0,2.3,1.6
(사)경찰공제회,3.58,820.0,1.0,1.4,1.0,1.0,1.7743436127008072,1.0
한국방송공사,3.62,748.0,1.2,2.0,1.4,1.9,1.9,2.2
HL Klemove,3.61,759.0,1.0,1.8,1.3,1.0,1.3,1.3
전력거래소,3.68,846.0,1.2,2.3,1.2,1.3,1.3,1.8
한국정책금융공사,3.74,790.8021363782584,2.0,2.5,1.0,1.4165709744538644,1.8359310940300293,1.8298345232788389
수산업협동조합중앙회,3.68,840.0,1.0,2.9,2.0,1.0,1.0,1.8
웰킵스하이텍,3.6,693.0,1.0,1.8,1.3,1.5,1.7,2.0
씨디네트웍스,3.5,738.0,1.0,2.0,1.2,1.3,1.8,1.3
삼양통상,3.55,769.1378357302078,1.0,2.0,1.3,3.0,1.762795959951578,2.0
삼정펄프,3.39,705.0,1.0,2.4,1.3,1.7,1.3,1.8
환인제약,3.57,761.0,1.0,1.9,1.3,1.9,1.0,1.4
일진전기,3.58,782.0,1.1,2.0,1.1,1.0,2.0,2.0
중소기업중앙회,3.74,786.0,1.2,2.3,1.2,1.9,1.8,1.6
(재)세종문화회관,3.74,747.0,1.3,2.0,1.6,2.2,1.8,2.1
(재)한국장학재단,3.61,871.0,1.0,2.8,1.0,1.3,1.8,2.2
한국조폐공사,3.65,781.0,1.0,2.6,1.3,2.0,2.5,2.0
한국자동차연구원,3.73,741.0,1.2,2.1,1.5,1.5,2.8,1.8
드림어스컴퍼니,3.45,767.0,1.0,1.8,1.0,2.0,1.7,1.3
KG이니시스,3.45,735.0,1.0,1.6,1.2,1.5411684274333879,1.5,1.0
홈캐스트,3.61,765.0,1.0,2.5,2.0,2.0,1.785891265450036,1.0
한솔신텍,3.59,757.0,1.1622798634321962,2.7,1.0,1.0,1.0,2.0
에코볼트,3.75,533.0,1.3,1.8,2.0,1.5,1.0,2.5
원익큐브,3.32,833.0,1.1159854323137015,2.1,1.2,1.0,1.5,2.0
상신브레이크,3.71,798.0,2.0,2.6,1.5,1.0,1.8243834412808,1.8203108057615305
삼진제약,3.53,766.0,1.0,2.2,1.3,1.6,1.0,1.5
에스제이엠,3.39,733.0,1.0,2.1,1.3,1.5669472108084617,2.0,1.7187244855769102
동일방직,3.61,766.0,1.1657090805520847,2.6,1.3,1.4724250050998577,1.785891265450036,2.5
보루네오가구,3.59,731.0,1.0,2.3,1.3,2.0,1.6,1.3
SPC삼립,3.56,845.0,1.2,2.3,1.4,1.5,2.1,1.8
에스에너지,3.6,809.0,1.1,2.0,1.1,1.8,1.5,1.9
인지디스플레이,3.64,728.0,1.0,1.8,1.3,1.0,1.0,1.0
넥스콘테크놀러지,3.6,721.0,1.6,2.2,1.1,1.5,1.5,1.9
매그나칩반도체,3.68,760.0,1.0,2.1,1.1,1.3,1.3,1.0
농업협동조합중앙회,3.58,747.0,1.0,2.7,1.1,1.7,1.2,1.4
피케이엘,3.57,845.0,1.0,1.9,1.0,1.4896108606832403,1.7704943951177305,1.0
안정개발,3.26,736.0712715831831,1.105697780954036,2.0,1.2710105585176608,1.6228012414544553,1.0,1.0
세스코,3.47,764.0,1.0,2.2,1.3,1.8,1.7,1.9
현대에버다임,3.52,799.0,1.4,2.5,1.3,1.5,1.5,1.3
포스하이메탈,3.73,779.0,1.0,2.7,1.1,1.0,1.3,1.8
IBK캐피탈,3.64,844.0,1.0,2.3,1.2,1.8,2.0,2.8
세아네트웍스,3.49,815.0,1.0,2.7,1.0,1.5239825718500053,1.7397006544531197,1.0
현대퓨처넷,3.73,772.0,1.1862843832714156,2.5,1.7,2.3,2.5,1.3
덕평랜드,3.72,788.0,1.0,2.3,1.5,1.4251639022455556,5.0,1.8234853782673
대웅바이오,3.57,799.0,1.0,2.0,1.0,1.2,1.0,1.6
엘티소재,3.83,720.0,1.2,2.3,1.8,1.7,2.4,2.1
HD현대엔진 유한회사,3.66,809.0,1.0,2.6,1.0,1.0,1.0,2.0
한국지질자원연구원,3.72,734.0,1.0,2.1,1.1,1.0,2.0,1.8
한국특허기술진흥원,3.66,832.0,1.3,2.5,1.3,1.5,1.7,2.5
인팩,3.52,753.0,1.3,2.0,1.1,1.7,1.7512483072023488,1.6
커머스플래닛,3.54,841.0,1.4,1.9,1.3,1.4,2.3,1.5
라이온코리아,3.87,765.0,1.2102889031106352,3.0,1.5,1.360716943807871,1.885970922610022,2.0
KT파워텔,3.32,770.0,1.1159854323137015,2.4,1.2726656127976177,1.5970224580793813,1.6742639555408212,1.6965024780365243
듀폰코리아,3.57,861.0,1.2,2.1,1.4,1.3,1.7,2.4
하이디스테크놀로지,3.66,814.0,1.174282123351806,1.8,1.0,2.0,1.8,1.3
에스피씨,3.66,870.0,1.0,2.1,1.2,1.5,1.5,1.3
한림제약,3.7,737.0,1.0,2.0,1.8,1.0,1.6,1.2
동아오츠카,3.53,770.0,1.0,1.9,1.3,1.8,1.8,1.7
CJ E&M,3.62,863.0,1.2,1.8,1.2,1.3,1.5,1.4
씨모텍,3.52,775.0,1.0,1.8,1.0,1.5110931801624685,1.5,1.7599939281519121
파트론,3.64,675.0,1.2,2.4,1.2,1.3,1.7,1.7
 K J 프리텍,3.47,750.0,1.5,2.2,2.0,1.5325754996416967,1.7320022192869668,1.7441210656230652
대성엘텍,3.48,661.0,1.3,2.0,1.6,1.0,1.4,1.3
인베니아,3.66,697.0,1.174282123351806,2.2,1.6,1.4,2.5,1.3
하나마이크론,3.55,825.0,1.3,2.3,1.7,1.5,1.7,1.5
루멘스,3.58,837.0,1.6,2.7,1.7,1.0,2.3,2.3
미래산업,3.57,715.0,1.0,1.9,1.7,1.4896108606832403,1.7704943951177305,1.0
신풍제약,3.48,715.0,1.4,2.7,1.6,1.8,1.3,1.6
현대약품,3.57,744.0,1.0,2.2,1.2,1.5,1.0,1.3
신라교역,3.75,763.0,1.0,2.9,1.2,2.0,1.8397803116131055,2.0
티비에이치글로벌,3.54,820.0,1.2,2.3,1.3,1.0,1.5,2.3
한국콜마홀딩스,3.72,833.0,1.0,2.3,1.3,1.2,2.7,1.9
일진디스플레이,3.58,784.0,1.0,2.0,1.4,1.7,1.5,1.1
하이트론씨스템즈,3.55,760.0,1.0,2.2,1.3,1.4982037884749317,4.3,1.0
자화전자,3.53,767.0,1.3,1.8,1.3,1.0,1.0,3.0
신세계톰보이,3.63,668.0,1.0,1.9,1.2,1.4638320773081666,1.0,1.7949142257153754
성창기업지주,3.77,762.0,1.1,2.2,1.5,2.0,1.3,2.3
삼영화학공업,3.49,695.0,1.0,2.2,1.3,2.0,1.0,1.0
서흥,3.83,880.0,1.0,1.5,1.7,2.0,1.3,1.3
쌍방울트라이그룹,3.76,640.0,1.0,2.3,1.0,3.0,2.3,4.0
일성신약,3.58,838.0,1.0,2.2,1.4,1.3,2.3,2.2
다우기술,3.53,768.0,1.2,2.1,1.1,1.3,1.6,1.9
광전자,3.74,770.0,1.1,2.0,1.2,1.0,1.9,1.7
에넥스,3.46,753.0,1.0,2.1,1.4,1.6,2.5,1.4
삼일제약,3.56,759.0,1.0,2.3,1.1,1.3,2.0,1.3
인지컨트롤스,3.61,754.0,1.7,2.2,1.3,1.4,1.9,1.6
한국석유공업,3.72,795.0,1.1845697747114716,2.6,1.4,1.0,1.0,2.0
케이엠더블유,3.61,697.0,1.2,2.2,1.5,1.3,2.1,2.3
유유제약,3.54,708.0,1.0,1.8,1.3,1.0,1.3,1.3
상상인증권,3.57,653.0,1.1588506463123078,3.3,1.0,1.4896108606832403,4.0,2.0
참엔지니어링,3.51,759.0,1.0,3.0,1.0,1.0,1.7473990896192724,1.7568193556461427
엔케이,3.69,757.0,1.0,2.3,1.3,2.0,5.0,3.0
와이지플러스,3.59,901.0,1.0,1.0,1.3,1.4810179328915491,1.5,2.0
대양금속,3.55,940.0,1.1554214291924192,2.0,1.5,1.4982037884749317,1.762795959951578,1.0
삼성출판사,3.82,805.0,1.3,2.0,1.1,1.0,1.3,2.0
데상트코리아,3.71,854.0,1.1,1.7,1.2,1.2,1.4,2.3
자트코코리아엔지니어링,3.66,776.0,1.0,2.3,1.0,1.0,1.0,3.0
콘티넨탈오토모티브일렉트로닉스,3.62,826.0,1.167423689112029,1.7,1.8,1.4,1.0,2.0
푸르덴셜투자증권,3.53,747.0,1.0,1.9,1.0,1.0,2.0,1.7
한국오라클,3.6,850.0,1.1,2.2,1.1,1.3,2.0,1.8
셀트리온,3.7,840.0,1.0,2.1,1.8,1.2,1.6,1.8
에이비씨마트코리아,3.63,770.0,1.4,2.1,1.2,1.7,1.3,2.4
한국베링거인겔하임,3.52,897.0,1.3,1.6,1.2,1.0,1.0,1.8
한국존슨앤드존슨메디칼,3.49,833.0,1.0,2.0,1.2,1.5,1.5,1.7
하니웰애널리틱스,3.47,788.0,1.0,2.8,1.0,2.0,1.7,2.3
인천국제공항공사,3.72,856.0,1.2,2.1,1.3,1.2,1.7,1.7
한국석유공사,3.67,843.0,1.0,2.5,1.4,1.3,1.4,1.7
한국광물자원공사,3.63,732.0,1.5,2.1,1.3,1.0,1.3,1.7
한국과학기술원,3.71,806.0,1.4,2.2,1.3,1.4,1.9,2.4
에이스테크놀로지,3.63,793.0,1.0,1.9,1.5,1.0,1.3,1.8
코데즈컴바인,3.78,795.3630417778479,1.0,2.2,1.3,1.399385118870482,2.0,1.0
이건홀딩스,3.57,778.0,1.0,1.8,1.0,1.0,2.5,1.775866790680759
바텍,3.6,826.0,1.0,2.2,1.4,1.3,1.6,1.9
디엠에스,3.54,738.0,1.1,1.8,1.3,1.5025002523707771,1.6,2.0
하나투어,3.63,784.0,1.2,2.1,1.4,1.6,1.7,1.9
오스템,3.45,850.0,1.0,2.1,1.8,1.5411684274333879,1.0,1.7377719206115265
한국국토정보공사,3.59,670.0,1.0,2.2,1.0,1.2,1.0,2.0
두산전자,3.67,797.0,1.1759967319117504,2.2,1.3,1.0,1.8,1.9
골드앤에스,3.7,797.0,1.1,2.6,1.2,1.7,2.0,1.3
알루코,3.48,724.0,1.0,2.1,1.4,1.528279035745851,1.0,1.6
한솔케미칼,3.74,786.0,1.18799899183136,1.8,1.0,1.0,1.8359310940300293,1.5
현대커머셜,3.54,779.0,1.0,2.2,1.4,1.2,1.3,2.3
한솔PNS,3.74,802.0,1.18799899183136,2.0,1.1,1.0,1.6,2.0
삼영전자공업,3.58,839.0,1.3,2.0,1.1,1.5,2.8,1.0
동양피스톤,3.58,803.0,1.0,2.3,1.4,2.0,1.0,1.7
싸이버로지텍,3.57,836.0,1.0,2.4,1.2,1.4,1.2,1.8
동화약품,3.48,775.0,1.0,2.2,1.3,3.0,1.0,1.7
신용보증기금,3.67,757.0,1.0,2.3,1.3,1.5,1.8,2.1
한국자산관리공사,3.57,788.0,1.1,2.3,1.2,1.5,1.5,1.9
KDB산업은행,3.63,839.0,1.0,2.4,1.5,1.1,1.6,2.6
대림아이앤에스,3.55,617.0,1.2,2.4,1.5,1.0,1.5,1.0
메타넷디지털,3.5,746.0,1.2,2.3,1.2,1.7,1.6,1.7
에이치디씨리조트,3.57,798.0,1.0,2.4,1.4,1.3,1.0,2.0
(재)한국원자력연구원,3.79,725.0,1.1,2.1,1.1,1.9,1.4,1.9
동원그룹,3.49,742.0,1.1451337778327537,2.5,1.0,1.0,2.7,2.0
웅진식품,3.43,833.0,1.0,2.3,1.2,2.0,1.3,2.3
에스케이엔펄스,3.5,710.0,1.1468483863926981,2.0,1.0,1.0,1.743549872036196,1.0
금융감독원,3.83,858.0,1.2034304688708581,3.3,1.0,1.0,3.0,1.0
한국거래소,3.76,886.0,1.1914282089512485,2.6,1.1,1.3,2.0,1.0
세중나모여행,3.62,734.0,1.0,3.0,1.3,1.8,2.3,1.8
국가과학기술연구회,3.49,730.0,1.0,2.0,1.5,1.0,1.0,2.0
한미글로벌건축사사무소,3.57,810.0,1.2,2.1,1.3,1.0,4.0,1.5
티맥스소프트,3.57,783.0,1.1,2.0,1.3,1.2,1.7,1.9
헤럴드,3.83,843.0,1.3,1.7,1.3,1.0,1.0,2.5
한국화학연구원,3.92,718.0,1.0,2.1,1.0,1.3,1.9,1.6
(재)에너지경제연구원,3.81,859.0,1.2,2.3,1.4,1.2,1.3,1.7
한국농어촌공사,3.58,762.0,1.1,2.3,1.2,1.7,1.6,1.4
서울시설공단,3.7,831.0,2.0,3.4,1.0,1.1,1.0,1.6
유아이엘,3.58,741.0,1.160565254872252,2.3,1.1,3.0,1.0,1.0
서울주택도시공사,3.7,882.0,1.181140557591583,2.7,1.3,1.3,2.3,2.4
(재)한국전기연구원,3.83,726.0,1.5,2.3,1.4,1.0,1.2,1.4
신용회복위원회,3.74,693.0,1.0,2.1,1.0,1.3,1.0,2.0
(재)대구경북과학기술원,3.79,743.0,1.1965720346310813,2.0,1.0,1.0,2.0,2.3
한국토지공사,3.61,659.0,1.1,1.9,1.2,1.0,1.3,1.5
이엘씨에이한국,3.66,755.0,1.1,2.2,1.3,1.0,1.5,3.0
건화,3.79,658.0,1.0,1.8,1.1,1.3950886549746362,3.0,1.0
오스템임플란트,3.62,777.0,1.1,2.1,1.4,1.7,1.5,1.8
휴맥스,3.58,910.0,1.5,1.9,1.0,1.0,1.4,1.6
두원중공업,3.61,737.0,1.0,1.9,1.4,2.3,2.3,1.5
온미디어,3.65,681.0,1.0,1.8,1.3,1.4552391495164752,2.0,3.0
힐티코리아,3.41,818.0,1.0,2.0,1.2,1.4,1.7,1.4
더클래스효성,3.61,763.0,1.0,2.3,1.1,1.7,1.6,1.6
한국전자금융,3.63,751.0,1.0,1.9,1.6,1.8,1.6,1.6
클로잇,3.49,794.0,1.3,2.8,1.0,1.0,1.0,2.5
HDC아이파크몰,3.58,846.0,1.0,2.5,1.2,2.1,2.3,1.9
삼정케이피엠지,3.66,794.0,1.3,1.7,1.0,3.0,1.8051373533654183,1.0
성동조선해양,3.57,766.0,1.1,2.1,1.3,1.7,1.4,1.5
아이레보,3.47,645.0,1.1417045607128653,1.7,1.0,1.0,1.0,1.0
모두투어네트워크,3.63,787.0,1.1,2.3,1.3,1.4,1.7,1.7
청호컴넷,3.54,760.0,1.2,2.0,1.2,1.3,1.6,2.0
티엔엔터테인먼트,3.65,810.0,1.0,2.2,1.0,1.0,1.8012881357823418,1.8012633707269141
심포니에너지,3.65,674.0,1.1725675147918617,2.3,1.3,1.4552391495164752,2.0,1.8012633707269141
마팔하이테코,3.68,838.0,1.0,2.8,2.0,1.4423497578289382,2.0,2.0
세종파마텍,3.4,763.0,1.0,2.0,1.6,1.7,2.3,2.2
정도알미늄,3.52,800.0,1.0,2.3,2.0,1.5110931801624685,1.7512483072023488,1.7599939281519121
오리엔트바이오,3.48,684.0,2.0,1.8,1.1,1.528279035745851,1.7358514368700433,1.7472956381288345
지금강,3.66,781.6803255790792,1.174282123351806,2.0,1.0,2.0,1.0,1.5
아르네코리아,3.62,746.0,1.0,2.2,1.6,1.4681285412040121,3.0,3.0
아이컴포넌트,3.69,843.0,2.0,1.6,1.0,3.0,2.0,1.0
이텍산업,3.4,803.0,1.0,2.4,3.0,1.5626507469126163,3.0,2.0
신원기술,3.62,655.0,1.167423689112029,1.8,1.0,1.4681285412040121,1.7897404830331127,1.7917396532096062
청우하이드로,3.44,788.0,2.0,2.2,1.0,1.5454648913292337,2.3,1.0
해성티피씨,3.55,455.0,1.0,2.0,1.0,1.4982037884749317,1.762795959951578,1.3
대주기업,3.4,752.0344404817467,1.1297023007932556,2.2,1.0,1.5626507469126163,3.0,1.5
코오롱데크컴퍼지트,3.62,828.0,1.167423689112029,2.8,1.0,1.4681285412040121,1.5,1.7917396532096062
다인정공,3.29,737.0,1.0,2.3,1.5,1.5,1.0,2.0
영테크,3.45,757.7355722312338,1.0,2.3,1.2762515637375242,1.5411684274333879,1.7243037841208142,1.7377719206115265
대주전자재료,3.76,636.0,1.3,2.0,1.3,1.0,1.0,1.0
럭스코,3.52,765.7171566805156,1.1502776035125866,1.3,1.2781824603974739,1.5110931801624685,1.7512483072023488,1.7599939281519121
아코디스,3.48,761.156251280926,1.1434191692728095,2.0,1.0,1.528279035745851,1.0,1.0
에스알아이텍,3.55,519.0,1.0,2.1,1.3,1.4982037884749317,1.762795959951578,1.0
씨유테크,3.64,779.3998728792844,1.1708529062319175,1.8,1.2814925689573875,1.4595356134123207,3.0,1.7980887982211449
하이트진로산업,3.44,750.0,1.1365607350330325,2.3,1.0,1.5454648913292337,1.7204545665377378,1.5
한영넉스,3.52,743.0,1.7,2.1,1.0,1.7,1.0,1.4
빛과전자,3.79,796.5032681277454,2.0,2.2,1.0,2.5,1.855177181945411,1.5
덕산하이메탈,3.57,897.0,1.0,2.5,1.5,1.2,2.0,1.3
씨이에스,3.38,728.0,1.0,1.7,1.0,1.5712436747043075,1.6973592610392794,1.7155499130711407
디에스,3.56,777.0,1.3,1.8,1.2,1.493907324579086,2.8,1.4
블루닉스,3.62,683.0,1.167423689112029,2.0,1.2809408841974017,1.4681285412040121,1.0,1.7917396532096062
슝크카본테크놀로지,3.44,756.5953458813364,1.0,2.5,1.3,1.5454648913292337,1.7204545665377378,1.0
뉴보텍,3.71,598.0,1.1828551661515272,1.9,1.2834234656173371,1.4294603661414014,5.0,1.8203108057615305
에코앤드림,3.84,700.0,1.2051450774308023,2.5,1.0,2.0,1.874423269860793,1.5
상아프론테크,3.63,691.0,1.0,2.0,1.4,2.0,3.0,3.0
중소벤처기업진흥공단,3.62,816.0,1.1,1.9,1.3,1.5,1.5,1.7
아모제푸드,3.65,757.0,1.1,2.3,1.5,2.2,1.9,1.9
삼익악기,3.57,824.0,1.0,2.5,1.0,2.0,2.5,1.7
신신제약,3.54,630.0,1.0,1.9,1.0,1.0,1.0,2.0
고려신용정보,3.52,786.0,1.1,2.1,1.1,1.9,1.6,2.8
나노신소재,3.42,775.0,1.0,2.2,1.0,1.5540578191209249,1.7127561313715849,1.0
올가홀푸드,3.51,751.0,1.0,2.5,1.3,1.3,1.8,2.0
엔스퍼트,3.47,700.0,1.1417045607128653,1.8,1.3,1.5325754996416967,1.7320022192869668,1.0
자티전자,3.49,683.0,1.1451337778327537,2.3,1.0,1.5239825718500053,1.0,1.750470210634604
케이아이엔엑스,3.58,796.0,1.0,2.7,1.3,1.0,1.3,2.7
에스디시스템,3.65,740.0,1.1725675147918617,3.3,1.0,1.4552391495164752,1.8012881357823418,1.8012633707269141
시스게이트,3.26,736.0712715831831,1.105697780954036,2.7,1.0,1.8,1.3,1.2
한일네트웍스,3.5,720.0,1.3,2.1,1.0,2.0,1.6,1.7
굿어스,3.41,739.0,1.1314169093531998,2.9,1.0,1.0,2.6,2.3
국제방송교류재단,3.6,845.0,1.3,1.5,1.6,1.0,1.3,2.4
소니드,3.3,865.0,1.7,2.8,2.0,1.6056153858710727,1.7,5.0
코일마스터,3.68,729.0,1.3,2.8,1.6,5.0,1.0,1.8107870882442225
홈플러스홀딩스,3.37,688.0,1.1245584751134228,1.9,1.0,1.575540138600153,1.0,1.0
트라이씨클,3.61,785.0,1.4,2.2,1.4,1.9,2.1,1.8
갤럭시아디바이스,3.54,735.0,1.0,2.0,1.0,2.0,1.5,1.3
오상헬스케어,3.6,819.0,1.3,2.4,1.3,2.0,1.0,1.5
좋은사람들,3.56,790.0,1.0,1.8,1.1,1.5,1.5,1.7
우진플라임,3.52,648.0,1.2,2.1,1.4,2.0,1.3,1.2
동아건설산업,3.6,807.0,1.0,1.9,1.3,1.4,2.0,2.0
한국브렌슨,3.38,733.0,1.1262730836733672,1.9,1.0,1.0,1.0,1.7155499130711407
오보텍코리아,3.36,724.0,1.1228438665534786,1.4,1.4,1.5798366024959989,1.6896608258731267,1.709200768059602
에스티에프,3.5,697.0,1.1468483863926981,1.9,1.0,1.5196861079541597,2.0,1.7536447831403734
알파,3.57,713.0,1.0,2.1,1.3,2.3,1.3,1.5
크라제인터내셔날,3.68,703.0,1.3,2.1,1.2,1.7,1.3,1.2
태준제약,3.47,774.0,1.0,2.2,1.4,1.3,2.3,1.8
삼우F&G,3.53,590.0,1.0,1.8,1.0,2.0,1.755097524785425,1.0
알라딘커뮤니케이션,3.53,767.0,1.2,2.0,1.3,2.3,1.0,2.7
한진화학,3.5,745.0,1.0,2.3,1.2,1.7,1.6,1.8
멀티캠퍼스,3.68,788.0,1.0,2.2,1.1,1.5,2.1,1.9
성원제강,3.63,696.0,1.169138297671973,2.2,1.0,1.4638320773081666,1.793589700616189,1.0
숭실대학교,3.87,796.0,1.1,2.0,1.2,1.7,1.9,2.4
2012여수세계박람회조직위원회,3.7,817.0,1.6,2.1,1.0,2.0,1.7,1.7
보브,3.7,585.0,2.0,1.9,1.0,1.433756830037247,1.8205342236977238,1.0
성안,3.52,788.0,1.0,2.5,1.2,1.0,1.7512483072023488,1.7599939281519121
본아이에프,3.59,755.0,1.5,2.1,1.5,1.5,1.6,1.9
에이테크솔루션,3.63,680.0,1.3,2.2,1.2,1.4638320773081666,2.1,1.0
가비아,3.47,820.0,1.0,2.0,1.1,1.6,1.6,2.0
이상네트웍스,3.56,779.0,1.1,2.1,1.3,1.8,1.4,1.5
에스씨아이평가정보,3.46,769.0,1.3,1.9,1.3,1.4,1.6,1.7
유원컴텍,3.6,868.0,1.0,3.2,1.3,1.4767214689957033,1.7820420478669599,1.7853905081980672
웰크론한텍,3.79,762.0,2.0,2.8,1.0,2.0,1.0,10.0
코메드메디칼,3.58,713.0,1.160565254872252,2.3,1.3,1.4853143967873947,1.7,1.0
인켈,3.43,789.0,1.3,2.0,1.3,1.5497613552250793,2.0,1.0
휴맥스오토모티브,3.62,841.0,1.0,1.8,1.4,1.7,1.3,1.0
이오테크닉스,3.61,776.0,1.4,2.0,1.2,1.5,1.6,1.2
교육지대,3.67,753.0,1.1,2.4,1.3,1.7,1.8,1.5
제이티인터내쇼날코리아,3.2,865.0,1.0,2.6,1.0,2.0,1.0,2.0
조이시티,3.48,720.0,1.0,2.1,1.1,1.5,1.0,1.0
(재)서울문화재단,3.72,807.0,1.2,1.7,1.1,1.6,2.0,2.2
순천향대학교,3.81,727.0,1.3,2.4,1.3,1.7,1.3,1.9
클루넷,3.5,771.0,1.5,2.0,1.6,1.5,1.7,2.0
이연제약,3.48,788.0,1.0,2.4,1.3,2.0,1.0,2.8
넥슨모바일,3.57,802.0,1.3,1.8,1.0,1.4896108606832403,1.0,1.775866790680759
아이디스,3.62,811.0,1.5,1.7,1.0,1.0,1.2,1.3
고우넷,3.41,728.0,1.0,2.7,1.3,1.3,2.0,1.7
이스트소프트,3.63,795.0,1.2,2.3,1.2,1.3,1.9,2.5
