회사명,키워드
Korea Instrument,"상품입출고, 생산기술, 창고관리, PCB, 신소재"
LG생활건강,"인테리어디자인, 품질보증, 생산관리, 검증, 자금관리"
LG에너지솔루션,"신소재, MLOps, 제조·공정, 자동차, 로봇설계"
LG유플러스,"문서관리, 문서작성, 통신, 사무보조"
LG화학,"보관/재고관리, 석유화학 공정"
LX하우시스,"생산관리, 영업기획, 상품기획, IT, 디자인, 점포개발, 가맹점관리, 대리점관리, SP"
MINISO DEVELOPMENT HONG KONG LIMITED,"패키지디자인, 잡화디자인, 악세사리디자인, 팬시디자인, 삽화·일러스트"
Merci Lutin,"카페, 구움과자, 케이크, 제과제빵점, 커피숍"
NE능률,"PM, 앱기획, 교재제작, 콘텐츠기획, 서비스기획"
NHN벅스,"서버개발, HTTP"
NHN여행박사,"거래처관리, 영업기획, 대리점관리, 여행사, 고객관리, 앱기획, 여행사, 서비스기획, 여행상품안내·상담"
NH농협캐피탈,"캐피탈, 전표입력"
PMG KOREA,"남성의류, 계산서발행, 여성의류, 의류, 전표입력"
PS&M,"판매, 통신기기대리점, 컴퓨터기기판매, 유통"
Paul & Joanne Company,"홍보대행, SNS마케팅, 언론홍보, 광고기획"
REFRESH COFFEE,"파티쉐, 커피숍"
S.T.Dupont PARIS(롯데파,"의류판매, 백화점, 의류매장, 잡화판매, 재고관리"
SG주식회사,"환경, 기술영업, 공무, 건축시공, 기술지원"
SHP,"마트, 상품입출고, 창고관리, 재고관리, 할인점"
SICA,"교사, 기타외국어, 어린이집, 학원강사, 어학원"
SK,"시스템운영, 네트워크관리, 서버구축, 네트워크관리, 프로그램 유지보수"
SK매직,"고객관리, 렌탈서비스, 비데, 연수기, 정수기, 렌탈, 해피콜, 거래처관리, 렌탈영업, 가맹점관리"
SMC 엔지니어링,"반도체장비, 생산기술, 기술지원, 조립, A·S수리"
SPC GFS,"메뉴개발, 단체급식, 식단관리"
SPC삼립,"베이커리, 베이커리, 제과제빵점"
S사,"반도체, 반도체생산"
TPA엔지니어링,"메카트로닉스, 기계, 메카트로닉스, 기계설계, 금속"
TechWing,"반도체장비, 장비영업, 국내영업"
UFI Filters Korea,"설비OP, 생산관리, 공정관리, 생산설계, 자동차부품, 자동차부품, PM(프로젝트매니저)"
URBANSPOON,"양식, 음식료, 양식당"
VALUM,"남성의류, 디스플레이, 여성의류, 유아의류, 의류"
WPIC Marketing Inc,"프로모션대행, 온라인광고, 광고대행"
[서울호서전문학교]직업능력개발원,"직업전문학교, 산업안전, 자격증·기술, 직업훈련, 국비지원"
[주류 도매 기업] 재무회계 팀장 채용,헤드헌팅
[홈 헬스케어 기업] 인증관리,"인증관리, 인증"
dx&vx,"상표담당, 출원, 바이오, 저작권, 의약"
e베이비랜드,"콜센터, 전화상담, 고객지원, 꽃집"
maystudio,"B2B, 메이크업, 전자상거래, 쇼핑몰, 오픈마켓"
ㅇㅇㅇㅇ,"재무회계, 부가세신고, 에너지, 자금관리, 세무조정"
㈔ 한국전시산업진흥회,"행정, 사무행정, 자료조사, 대내외홍보, 행정"
㈔강동장애인협회 정다운 우리들,"교재제작, 인쇄, 출력, 출판, 편집디자인"
㈔경북아이씨티융합산업진흥협회,"사업기획, 협회, 사단법인"
㈔대한한의약해외의료봉사단,"VMD, 유통관리, 매출관리, 판매관리, 면세점"
㈔안성맞춤스포츠클럽,"입시학원, 입시학원, 보습학원, 파트강사, 영어, 솔루션, B2B, 소프트웨어개발, 사업기획, 유통"
