회사명,공고명,"채용 형태(경력, 신입)",학력,직장 위치,키워드,마감 기한,공고 링크
엠에스씨코리아㈜,각 부문별 신입/경력 채용,경력2년↑,초대졸↑,서울 중구 외,"수출입계약, 해상무역, 물류센터, 수출입관리, 수출입계약",~12/29(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43473833?Oem_Code=C1&logpath=1&stext=&listno=1
㈜조네트워크,병원홍보 온라인 바이럴마케팅 신입/경력 정규직 채용,경력무관,초대졸↑,서울 강남구,"디지털마케팅, 옥외광고, 시장조사, SNS마케팅, 키워드광고",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43474088?Oem_Code=C1&logpath=1&stext=&listno=2
위키리크스코리아홀딩스㈜ (WiKiLeaks Korea Holdings,위키리크스한국 데스크·경력기자·마케팅 경력사원 모집,신입·경력1년↑,초대졸↑,서울 영등포구,"촬영기자, 언론사, 취재기자, 촬영기자, 방송아나운서",~12/13(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43473158?Oem_Code=C1&logpath=1&stext=&listno=3
아워홈,"(주)아워홈 23년 하반기 신입 영양사, 조리사 공개채용(정규직)",신입·경력,학력무관,강원 전지역 외,"메뉴개발, 메뉴개발, 중식, 케이터링, 고객안내",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43472734?Oem_Code=C1&logpath=1&stext=&listno=4
초인산업개발㈜,"토목시공 공무담당/안전관리자 신입,경력직 채용",신입·경력1년↑,학력무관,서울 송파구 외,"시공관리, 가스점검, 안전평가, 상하수도, 시설점검",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43473016?Oem_Code=C1&logpath=1&stext=&listno=5
㈜루트비,미디어커머스 PD 경력자 모집,경력2년↑,학력무관,경기 부천시 외,"유통관리, 상품기획, 시장조사, 프로모션, 영상제작",~12/20(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43472201?Oem_Code=C1&logpath=1&stext=&listno=6
㈜화신이앤엘(E&L),(주)화신이앤엘 [매쓰프로] 2023년 하반기 신입/경력사원 공개 채용,신입·경력1년↑,초대졸↑,서울 금천구 외,"고객관리, 학원운영, 복리후생, 거래처관리, 복리후생",~12/18(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43469791?Oem_Code=C1&logpath=1&stext=&listno=7
㈜한유에너지,경영지원팀 임원수행기사 신입/경력 모집,신입·경력,고졸↑,서울 관악구,"수행기사, 임원비서, 석유화학, 에너지, 화학",~12/11(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43471120?Oem_Code=C1&logpath=1&stext=&listno=8
㈜아인텍코퍼레이션,"유튜브 영상촬영 및 편집, 온라인쇼핑몰 MD 직원 채용",경력,초대졸↑,경기 남양주시 외,"디지털마케팅, 재고관리, 영상제작, 키워드광고, 방송기획",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43459143?Oem_Code=C1&logpath=1&stext=&listno=9
GS건설㈜,GS건설 경력직 채용모집,경력8년↑,대졸↑,서울 종로구,"건설, 시장분석",~12/12(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43470799?Oem_Code=C1&logpath=1&stext=&listno=10
남동상사,음료 슈퍼영업관리및 배달,경력무관,학력무관,인천 남동구 외,"고객관리, 물류센터, 거래처관리, 물류관리, 납품영업",~12/23(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43470875?Oem_Code=C1&logpath=1&stext=&listno=11
㈜Korea Instrument,반도체장비 생산직/제조직 채용(정규직),경력무관,고졸↑,경기 화성시 외,"상품입출고, 생산기술, 창고관리, PCB, 신소재",~02/03(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43470748?Oem_Code=C1&logpath=1&stext=&listno=12
㈜코비마운틴,TV 홈쇼핑 방송 운영 및 시연 (신입/경력) 채용,신입·경력,초대졸↑,서울 영등포구 외,"인서트, 브랜드기획, 방송기획, 프로모션, SNS마케팅",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43470404?Oem_Code=C1&logpath=1&stext=&listno=13
㈜코비마운틴,"각 부문 채용 (TV 홈쇼핑 MD (영업, 상품 기획) / 웹 디자이너)",신입·경력1년↑,초대졸↑,서울 영등포구 외,"고객관리, 방송제작, 제약영업, 고객경험관리, 옥외광고",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43470407?Oem_Code=C1&logpath=1&stext=&listno=14
지피코리아,스마트워치용 악세서리 제품디자인/기구설계/마케팅 경력자 모집,경력3년↑,학력무관,경기 시흥시 외,"패키지디자인, 디지털마케팅, 금속디자인, 기구설계, 문구디자인",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43470234?Oem_Code=C1&logpath=1&stext=&listno=15
㈜바운스,[실내 테마파크] (주)바운스 신입 및 경력직 채용,신입·경력,학력무관,서울 강남구 외,"레포츠, 메뉴개발, 생활체육, 고객안내, 기업홍보",~12/29(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43462876?Oem_Code=C1&logpath=1&stext=&listno=16
주식회사 두호코퍼레이션,"주식회사 두호코퍼레이션 (인플루언서 매니지먼트 PD, 인플루언서 LIVE&매니저, 자사몰 PB 브랜드 MD) 신입/경력 모집",신입·경력,학력무관,서울 성동구,"방송송출·송신, 기업홍보, 디지털마케팅, 재고관리, 방송기획",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43448911?Oem_Code=C1&logpath=1&stext=&listno=17
㈜다지트,[연봉3600만] 정착지원금(100만) 엘리베이터 인테리어 설치/설계/판금 각 분야 모집,경력2년↑,학력무관,경기,"건축설계, 조립, 승강기, 엘리베이터, 생산관리",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43470179?Oem_Code=C1&logpath=1&stext=&listno=18
프라임스톤컨설팅,"미국대학입시, 미국유학컨설팅, 컬리지카운슬링  파트별 어드바이저 모집",신입·경력,대졸↑,서울 강남구 외,"유학컨설팅, 미국대학입시, 학원강사, 중고등학교, 교육상담",~12/22(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43470124?Oem_Code=C1&logpath=1&stext=&listno=19
㈜엠에스엔지니어링,"배관,자동용접 엔지니어 보조채용 (숙소제공/초보가능/상위급여)",경력무관,학력무관,경기 화성시 외,"보수·철거, 회로설계, 샤시·창호, 가스설비, PCB",~01/03(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43470114?Oem_Code=C1&logpath=1&stext=&listno=20
㈜케이드라이브,(주)케이드라이브 2023년 경영지원본부 공개채용,신입·경력1년↑,초대졸↑,서울 영등포구 외,"복리후생, 행정, 더존, 육상운송, 비품관리",~12/12(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43480601?Oem_Code=C1&logpath=1&stext=&listno=421
알피니언메디칼시스템㈜,[일진그룹] 의료기기 제조 관리회계 및 경영기획 경력직 채용,경력5년↑,대졸↑,서울 강서구,"관리회계, 재무회계, 사업기획, 기업회계, 결산",~01/17(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43480580?Oem_Code=C1&logpath=1&stext=&listno=422
알피니언메디칼시스템㈜,[일진그룹]초음파 의료기기 인허가(QA / RA) 파트 사원-대리급,경력2년↑,대졸↑,서울 강서구,"인증심사, 품질보증, 검증, FDA, CE",~01/17(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43480570?Oem_Code=C1&logpath=1&stext=&listno=423
알피니언메디칼시스템㈜,[일진그룹] 초음파 의료기기 인허가(QA / RA) 과장-차장급,경력7년↑,대졸↑,서울 강서구,"인증심사, 품질보증, 검증, FDA, CE",~01/17(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43480563?Oem_Code=C1&logpath=1&stext=&listno=424
㈜오케이저축은행,[OK금융그룹]-정보보안팀 경력직 채용 공고,경력3년↑,대졸↑,서울 중구,"방화벽, 금융, 보안관제, 정보보안",~12/18(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43480549?Oem_Code=C1&logpath=1&stext=&listno=425
㈜시스윈로보틱스,"반도체, 디스플레이 설비 소프트웨어 개발 신입/경력 모집",신입·경력,대졸↑,경기 화성시 외,"전기제어, 자동제어, 펌웨어, 시스템분석, 전기·전자",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43480509?Oem_Code=C1&logpath=1&stext=&listno=426
네스트,[nest hotel] 객실팀 프론트 신입 및 경력 파트너를 모십니다.,신입·경력,초대졸↑,인천 중구 외,"관광, 호텔리어, 호텔리어, 고객응대, 하우스키핑",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43480503?Oem_Code=C1&logpath=1&stext=&listno=427
㈜시스윈로보틱스,반도체설비 기구설계 경력직 모집,경력5년↑,초대졸↑,경기 화성시 외,"기구설계, 캐드원, 전기제어, 자동제어, 3D설계",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43480495?Oem_Code=C1&logpath=1&stext=&listno=428
알피니언메디칼시스템㈜,[일진그룹] 의료기기 생산기술 엔지니어 사원-과장급,경력2년↑,대졸↑,서울 강서구,"생산기술, 기구설계, 기술설계, 구조해석/설계, 기술엔지니어",~01/17(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43480493?Oem_Code=C1&logpath=1&stext=&listno=429
㈜시스윈로보틱스,"스마트팩토리(자율주행로봇, AMR) 기술영업 신입/경력 모집",신입·경력,초대졸↑,경기 화성시,"고객관리, 거래처관리, 시스템영업, 기술영업, 장비영업",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43480482?Oem_Code=C1&logpath=1&stext=&listno=430
㈜웹젠,[웹젠/모바일(MMORPG)] 글로벌사업PM(중화권)(신입/경력),신입·경력2년↑,학력무관,경기 성남시,"게임마케팅, 게임사업PM, 게임디자인, 게임소프트웨어, 글로벌사업PM",~01/03(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43480450?Oem_Code=C1&logpath=1&stext=&listno=431
㈜선일다이파스,[자동차부품제조업] 소방안전관리자 신입사원 채용,신입,대졸↑,충북 진천군,"소방감리, 소방·방재, 소방·방재",~01/03(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43480447?Oem_Code=C1&logpath=1&stext=&listno=432
㈔ 한국전시산업진흥회,한국전시산업진흥회 2024년 상반기 신입직원 채용 공고,신입,대졸↑,서울 송파구 외,"행정, 사무행정, 자료조사, 대내외홍보, 행정",~12/22(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43480426?Oem_Code=C1&logpath=1&stext=&listno=433
한영회계법인,감사부문 FAAS본부 원가관리회계 컨설턴트 경력직,경력1년↑,대졸↑,서울 영등포구,"회계법인, 관리회계, 회계감사, 원가회계, 재무회계",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43480350?Oem_Code=C1&logpath=1&stext=&listno=434
㈜디에이피,PCB 제조기술 신입 사원 모집,경력무관,초대졸↑,경기 안산시,"메카트로닉스, 전자회로, 제조기술, 제어·설계, 품질보증",~12/22(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43480339?Oem_Code=C1&logpath=1&stext=&listno=435
㈜에이엠피엠글로벌,실력있는 웹디자이너 경력사원 모집,경력,초대졸↑,서울 금천구 외,"UI·UX기획, 홍보대행, 온라인광고, 광고디자인, 광고기획",~12/07(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43480296?Oem_Code=C1&logpath=1&stext=&listno=436
한영회계법인,감사부문 FAAS본부 재무혁신 컨설턴트 경력직,경력1년↑,대졸↑,서울 영등포구,"투자, 회계법인, 자금관리, 재무분석, 원가회계",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43480268?Oem_Code=C1&logpath=1&stext=&listno=437
백패커,[텀블벅] 데이터 엔지니어 (산업기능요원 보충역),경력무관,학력무관,서울 서초구,"빅데이터, 데이터레이크, 데이터 엔지니어, ETL, 데이터파이프라인",~01/03(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43480184?Oem_Code=C1&logpath=1&stext=&listno=438
한영회계법인,세무부문 국내조세 서비스 경력직,경력3년↑,대졸↑,서울 영등포구,"회계법인, 세무조정, 세무기장, 세무신고",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43480163?Oem_Code=C1&logpath=1&stext=&listno=439
㈜띵스파이어,머신러닝 개발자 채용- DL/ML 기반 데이터 분석,신입·경력3년↑,대졸↑,서울 용산구,"BigData, 솔루션, 딥러닝, 인공지능, DataMining",~01/03(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43480162?Oem_Code=C1&logpath=1&stext=&listno=440
㈜동명기술공단종합건축사사무소,"공공하수도 관리대행 운영요원 모집 - 환경,전기,기계분야 모집 (경기 파주시, 제주 서귀포시)",경력무관,학력무관,서울 동대문구 외,"토목설계, 전기설비, 수질환경",~01/03(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43473365?Oem_Code=C1&logpath=1&stext=&listno=841
국립중앙의료원,계약직 행정-휴직대체(임상시험센터) 채용,신입,초대졸↑,서울 중구,행정,~12/18(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43473348?Oem_Code=C1&logpath=1&stext=&listno=842
㈜한국몬테소리,(주)한국몬테소리 김해센터 홈스쿨 교사 모집,신입,대졸↑,경남 김해시,"방문교사, 방문교사",~01/03(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43473293?Oem_Code=C1&logpath=1&stext=&listno=843
잡코리아(유),신규서비스 사업개발 및 운영(5년차 이상),경력5년↑,학력무관,서울 서초구 외,"데이터분석, 신사업기획, 제안·컨설팅, 데이터분석, 신사업운영",~12/24(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43472952?Oem_Code=C1&logpath=1&stext=&listno=844
㈜드림어스컴퍼니,[뮤직플랫폼FLO] 프로모션 마케터,경력3년↑,대졸↑,서울 서초구,"디지털마케팅, 제휴프로모션, AppsFlyer, 제휴마케팅, 컨텐츠",~12/18(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43473285?Oem_Code=C1&logpath=1&stext=&listno=845
국립중앙의료원,계약직 행정(감염병병원설립기획단) 채용,신입·경력,학력무관,서울 중구,"감염병병원설립기획팀, 행정",~12/18(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43473266?Oem_Code=C1&logpath=1&stext=&listno=846
코아시아,전장 SW 개발자 채용 (임베디드 및 펌웨어),경력4년↑,학력무관,인천 남동구,"펌웨어, 반도체, 디스플레이, 시스템설계, 임베디드",~02/02(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43473230?Oem_Code=C1&logpath=1&stext=&listno=847
한화호텔앤드리조트㈜,[인천/영종도]인스파이어 리조트 기계과장 채용,경력3년↑,고졸↑,인천 중구 외,시설관리,~01/03(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43473192?Oem_Code=C1&logpath=1&stext=&listno=848
국립중앙의료원,계약직 행정(치매사례관리팀) 채용,신입·경력,고졸↑,서울 중구,"행정, 치매사례관리팀",~12/18(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43473189?Oem_Code=C1&logpath=1&stext=&listno=849
우리이앤엘㈜,우리이앤엘 LED Display 개발 신입/경력 채용,신입·경력1년↑,학력무관,경기 안산시,"회로설계, 제품개발, 디스플레이, LED·OLED, 품질테스트",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43473162?Oem_Code=C1&logpath=1&stext=&listno=850
㈜제왕터보텍,(주)제왕터보텍 경리직 모집,신입,초대졸↑,경기 군포시,"발전기, 계산서발행, 기계, 기계조립, 기계설비",~01/03(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43473145?Oem_Code=C1&logpath=1&stext=&listno=851
(주)아모레퍼시픽,[신입] '23년 하반기 백화점 판매사원 수시채용(서울/경기/인천),신입·경력,대졸↑,전국,"고객관리, 화장품판매",~12/22(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43473143?Oem_Code=C1&logpath=1&stext=&listno=852
생활연구소,[청소연구소] 인바운드 상담자 모집,경력무관,고졸↑,경기 성남시,"원격상담, 전화상담, 온라인상담, 채팅상담",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43461973?Oem_Code=C1&logpath=1&stext=&listno=853
국립중앙의료원,계약직 단시간 임상병리사(이비인후과) 채용,신입·경력,대졸↑,서울 중구,임상병리사,~12/18(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43473106?Oem_Code=C1&logpath=1&stext=&listno=854
익수제약㈜,익수제약(주) 경영지원부 경력사원 채용공고,경력무관,고졸↑,서울 강동구,"바이오, 사업기획, 재무기획, 제약, 전략기획",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43473028?Oem_Code=C1&logpath=1&stext=&listno=855
국립중앙의료원,계약직 연구원(공공의료사업지원팀) 채용,신입·경력,학력무관,서울 중구,"공공의료사업지원팀, 건설·교통",~12/18(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43473022?Oem_Code=C1&logpath=1&stext=&listno=856
㈜골든듀,(주)골든듀 세일즈프로 신입 및 경력 채용(현대킨텍스점),신입·경력,학력무관,경기 고양시,"고객관리, 판매, 주얼리판매, 백화점, 샵마스터",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43472998?Oem_Code=C1&logpath=1&stext=&listno=857
국립중앙의료원,계약직 연구원(공공의료기획평가팀) 채용,신입,대졸↑,서울 중구,"공공의료기획평가팀, 생명공학",~12/18(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43472933?Oem_Code=C1&logpath=1&stext=&listno=858
㈜랩스엠알오,(주)랩스엠알오 배송(물류)관리 담당 채용,경력무관,고졸↑,대전 유성구,"상품입출고, 재고관리, 배송기사, MD",~01/03(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43472930?Oem_Code=C1&logpath=1&stext=&listno=859
GS리테일,[GS리테일] 사업전략팀 사무업무 지원 채용,경력무관,초대졸↑,서울 강남구,"행정, 문서작성, 전산입력",~12/11(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43472895?Oem_Code=C1&logpath=1&stext=&listno=860
넥스트다이닝㈜,[잠실 롯데월드몰점] 고급 일식 요리[진가와] [영업부/조리부] / 신입 및 경력[인센티브 최대 지점],신입·경력,학력무관,서울 송파구 외,"재고관리, 메뉴개발, 일식, 일식당, 양식",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43464183?Oem_Code=C1&logpath=1&stext=&listno=1261
넥스트다이닝㈜,[용산아이파크몰점] 나가사키 조리사 협회 기술협력[진가와/타쿠미] [조리부] / 신입 및 경력[인센티브 최대 지점],신입·경력3년↑,학력무관,서울 용산구 외,"재고관리, 패스트푸드, 메뉴개발, 메뉴개발, 일식",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43464175?Oem_Code=C1&logpath=1&stext=&listno=1262
넥스트다이닝㈜,[강남고속버스터미널점] 나가사키 조리사 협회 기술협력[타쿠미 나가사키] [영업부/조리부] / 신입 및 경력[초고속성장],신입·경력,학력무관,서울 서초구 외,"패스트푸드, 일식당, 메뉴개발, 사시미, 식품",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43464171?Oem_Code=C1&logpath=1&stext=&listno=1263
넥스트다이닝㈜,[분지로 명동점/한남점] 일본 프리미엄 돈카츠[분지로] [조리부/영업부] /신입 및 경력[초고속성장],신입·경력,학력무관,서울 용산구 외,"재고관리, 메뉴개발, 일식, 일식당, 양식",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43464168?Oem_Code=C1&logpath=1&stext=&listno=1264
㈜해밀로직스,물류센터 운영팀(출고/입반출/반품) 및 고객지원팀 사무파트  모집,신입·경력,학력무관,경기 광주시 외,"고객관리, 상품입출고, 전산입력, 창고관리, 피킹",~12/08(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43464236?Oem_Code=C1&logpath=1&stext=&listno=1265
어드레스8,패션 브랜드 `어반드레스(AVANDRESS)` CS 고객관리팀 채용,경력3년↑,학력무관,서울 성동구 외,"전산입력, 사이트관리, 고객경험관리, 남성의류, 게시판관리",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43460530?Oem_Code=C1&logpath=1&stext=&listno=1266
미스앤미스터㈜,[연봉3000-5000만/주5일] 미스앤미스터 외식사업부 슈퍼바이저/영업관리 경력직 채용,신입·경력2년↑,초대졸↑,경기 수원시 외,"고객관리, 거래처관리, 재고관리, 재고관리, 부진점 활성화 방안 수립 및 관리",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43464561?Oem_Code=C1&logpath=1&stext=&listno=1267
㈜오지구,"[(주)오지구] 전자담배 영업관리팀 영업 / 지원,CS 사원 채용",경력무관,학력무관,경기 하남시,"고객관리, 전산입력, 거래처관리, 문서관리, 유통",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43464518?Oem_Code=C1&logpath=1&stext=&listno=1268
로얄호텔서울,명동로얄호텔 신입 및 경력직 채용,신입·경력3년↑,초대졸↑,서울 중구 외,"호텔리어, 고객안내, 바텐더, 재무회계, 호텔사무",~12/29(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43464264?Oem_Code=C1&logpath=1&stext=&listno=1269
㈔한국나눔연맹,[서울/대구/경남/경북] 외근 대면 홍보팀 정규직 채용 공고,경력무관,고졸↑,대구 서구 외,"고객관리, 사회복지, 프로모션, 광고기획, 바이럴마케팅",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43464159?Oem_Code=C1&logpath=1&stext=&listno=1270
㈔한국나눔연맹,[대구본부] 기획팀 정규직 신입사원 모집,경력1년↑,초대졸↑,대구 서구 외,"전산입력, 기업홍보, 디지털마케팅, 사회복지, 키워드광고",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43464162?Oem_Code=C1&logpath=1&stext=&listno=1271
현대스틸파이프㈜,2023년 현대스틸파이프 신입/경력사원 채용,신입·경력,대졸↑,서울 강남구 외,"금속, SNS마케팅, 구매계약, 대기환경, 수질환경",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43462958?Oem_Code=C1&logpath=1&stext=&listno=1272
㈜한아름라이프,[한양대병원 장례식장] 운영관리실 직원 모집,경력무관,학력무관,서울 성동구 외,"고객관리, 전산입력, 행정, 문서관리, 문서작성",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43463928?Oem_Code=C1&logpath=1&stext=&listno=1273
㈜명륜당,(주)명륜당 인테리어팀(AUTO CAD) 경력직 채용,경력3년↑,초대졸↑,서울 송파구,"기업홍보, 브랜딩, 3D설계, 메뉴개발, 프랜차이즈",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43463831?Oem_Code=C1&logpath=1&stext=&listno=1274
㈜참든건강과학 농업회사법인,(주)참든건강과학 물류&구매 관리자 채용,신입·경력,학력무관,전남 장성군 외,"상품입출고, 창고관리, B2B, 상품기획, 재고관리",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43463814?Oem_Code=C1&logpath=1&stext=&listno=1275
㈜닥터앤팜,(주)닥터앤팜 마케팅 광고 영업 담당 직원 채용,경력,학력무관,서울 강남구 외,"경영연구소, 브랜드기획, 프로모션, 오프라인마케팅, 기업홍보",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43463793?Oem_Code=C1&logpath=1&stext=&listno=1276
넥스트다이닝㈜,[넥스트다이닝본사] 디자인/마케팅(0명) 및 기획/행정(0명) 부문 채용,경력무관,학력무관,서울 용산구,"한식당, 재무회계, 일식당, 행정, 브랜드기획",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43460196?Oem_Code=C1&logpath=1&stext=&listno=1277
둘리동물병원,"둘리동물병원 수의테크니션 채용합니다. (신입,동물병원 경력자 우대)",신입·경력,고졸↑,서울 도봉구 외,"애견관리, 동물병원",~01/01(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43463681?Oem_Code=C1&logpath=1&stext=&listno=1278
뉴욕스킨,딥시크릿에서 함께 웃으며 일하실 CS 직원분을 모집합니다. :D,경력무관,학력무관,인천 서구 외,"전산입력, 사이트관리, 쇼핑몰상담, 전화상담, 해피콜",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43463549?Oem_Code=C1&logpath=1&stext=&listno=1279
시그니아 독일보청기 남포센터,[시그니아 독일보청기 남포센터] 판매영업 채용,신입,초대졸↑,부산 중구 외,"고객안내, 의료기기영업, 보청기, 렌탈영업, 매출관리",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43457545?Oem_Code=C1&logpath=1&stext=&listno=1280
케이티텔레캅㈜,법인영업 신입/경력 공채,신입·경력,학력무관,전국,"영업전략, 거래선개발관리",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43460681?Oem_Code=C1&logpath=1&stext=&listno=1681
㈜한탑,생산팀 설비기계실 정규직 채용,경력무관,학력무관,부산 남구,"설비, 기계조작, 식품가공",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43460659?Oem_Code=C1&logpath=1&stext=&listno=1682
㈜에코이에스,"화천군 공공하수처리장 운영관리 채용공고(환경,기계,전기분야)",경력무관,고졸↑,강원 화천군 외,"유지보수, 폐수처리, 환경, 시설점검, 수질환경",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43460650?Oem_Code=C1&logpath=1&stext=&listno=1683
㈜세안이엔지,"크린룸, 공조냉동설비 설계 모집",경력5년↑,초대졸↑,경기 시흥시 외,"건축설계, 3D설계, 건설기계, 기계설계, 기계설비",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43460346?Oem_Code=C1&logpath=1&stext=&listno=1684
㈜해커스어학원,[신입/경력] 이러닝 강의기획/교수설계직 채용,신입·경력,대졸↑,서울 강남구,"교수설계, 전산입력, e러닝, 행정, 문서관리",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43459400?Oem_Code=C1&logpath=1&stext=&listno=1685
동양건설산업,[라인그룹] 라인문화재단 회계 경력직 채용 공고,경력,대졸↑,서울 강남구,"결산, 구조설계, 견적, 교량설계",~12/08(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43459653?Oem_Code=C1&logpath=1&stext=&listno=1686
㈜다도글로벌,[(주)다도글로벌 뉴브랜드] 강남역점 카페 점장 채용공고,경력2년↑,학력무관,서울 강남구,"점포개발, 메뉴개발, 프랜차이즈, 음식료, 판매관리",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43460466?Oem_Code=C1&logpath=1&stext=&listno=1687
㈜인투데이타시스템,[전자공공] 공공기관 시스템 유지관리 JAVA 개발자 모집 (과천),경력1년↑,대졸↑,경기 과천시,"SM, SI, 소프트웨어개발",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43460465?Oem_Code=C1&logpath=1&stext=&listno=1688
㈜천재교과서,[천재교과서 해법에듀BU] IT부문 앱개발자 경력직 모집,경력3년↑,초대졸↑,서울 금천구,"컨텐츠개발, e러닝, 영어학원, 보습학원, 교재제작",~12/22(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43460456?Oem_Code=C1&logpath=1&stext=&listno=1689
깨끗한나라㈜,[깨끗한나라] HL사업부 디자인센터 경력직 사원 채용(신입),경력2년↑,초대졸↑,서울 용산구 외,제지,~12/06(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43460442?Oem_Code=C1&logpath=1&stext=&listno=1690
㈜중앙애드넷아이엔씨,[경영지원팀] 경리 정규직 사원모집,신입·경력2년↑,초대졸↑,서울 구로구,"계산서발행, 문서작성, 사이트관리, 문서작성, 온라인광고",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43460412?Oem_Code=C1&logpath=1&stext=&listno=1691
