회사명,공고명,"채용 형태(경력, 신입)",학력,직장 위치,키워드,마감 기한,공고 링크
아웃리치,회계 원가 담당자 채용,경력2년↑,초대졸↑,서울 영등포구,"부가세신고, 더존, 패션, 재무분석, 결산",~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43342089?Oem_Code=C1&logpath=1&stext=&listno=60871
㈜해솔산업,덤프트럭 운전기사 모집,경력,학력무관,경기 남양주시,"중장비운전, 운송, 지게차운전, 화물차운전, 굴삭기",~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43342085?Oem_Code=C1&logpath=1&stext=&listno=60872
㈜디와이디,코스메틱 브랜드 구매담당자 모집,경력무관,학력무관,경기 고양시 외,"화장품, 화장품 부자재 구매 및 입고 일정관리, 메이크업, OEM/ODM 발주, 발주/입고 마감",~01/15(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43342066?Oem_Code=C1&logpath=1&stext=&listno=60873
세종씨앤피㈜,인쇄 및 제조업 경영지원파트 신입 채용,신입·경력3년↑,초대졸↑,서울 성동구,"재고관리, 인쇄, 자재구매, 자산관리",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43342058?Oem_Code=C1&logpath=1&stext=&listno=60874
㈜협신,통신공사 자재관리 직원 모집합니다.,경력무관,학력무관,대전 서구,"상품입출고, 통신",~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43342053?Oem_Code=C1&logpath=1&stext=&listno=60875
백두대간이엔씨,산림 및 토목 인허가담당 사원모집,신입,대졸↑,경기 고양시,"임업, 산림기사, 도시계획",~01/15(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43342051?Oem_Code=C1&logpath=1&stext=&listno=60876
잇츠미성형외과의원,[인천잇츠미의원] 상담실장 채용,경력,학력무관,인천 연수구,"피부과, 성형외과, 원무, 피부과, 고객상담",~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43342049?Oem_Code=C1&logpath=1&stext=&listno=60877
고척산업용품종합상가사업협동조합,공무부 기계 시설관리(정규직)4교대,경력1년↑,고졸↑,서울 구로구,"조합, 가스점검, 에너지기능사, A·S수리, 기술지원",~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43342047?Oem_Code=C1&logpath=1&stext=&listno=60878
㈜올리브인터내셔널,[역삼역/정규직] 뷰티브랜드 비프로젝트 브랜드 디자이너(패키지 메인),경력5년↑,학력무관,서울 강남구 외,"B2B, 컨텐츠디자인, 상품기획, 전자상거래, 쇼핑몰",~01/12(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43316656?Oem_Code=C1&logpath=1&stext=&listno=60879
㈜코어프로세스,[정규직] PMO/QA/테스트기획 신입/경력사원 채용,신입·경력5년↑,초대졸↑,서울 강남구 외,"테스터, SI, 검증",~01/15(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43342035?Oem_Code=C1&logpath=1&stext=&listno=60880
레드 브러쉬(RED BRUSH),2D그림배경 같이 그리실분 모셔요,신입·경력,학력무관,서울 금천구,"2D디자인, 무대디자인, 애니메이션, 원화디자인, 전시디자인",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43340215?Oem_Code=C1&logpath=1&stext=&listno=61281
광덕안정한의원의정부점,광덕안정한의원 입원센터 N-Keep 간호사 추가채용,경력무관,학력무관,경기 의정부시,"한의과, 병동간호사",~01/15(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43340283?Oem_Code=C1&logpath=1&stext=&listno=61282
그라운드라이프,시각 디자이너(상세페이지) 모집합니다.(신입/경력),신입·경력1년↑,대졸↑,광주 남구,"시각디자인, 브랜드디자인",~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43340244?Oem_Code=C1&logpath=1&stext=&listno=61283
영성미디어㈜,"사업관리, 영업관리 전문가   (연령 학력불문)",신입·경력,학력무관,서울 송파구,"관리회계, 더존, 자료조사, 기술영업, 인터넷교육",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43340276?Oem_Code=C1&logpath=1&stext=&listno=61284
㈜커넥트앤,[신입] 영업지원 매니저 모집,신입,초대졸↑,서울 금천구 외,"광고기획, 광고대행, 광고디자인, 광고제작, 온라인광고",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43340217?Oem_Code=C1&logpath=1&stext=&listno=61285
세무회계 정연,세무회계정연 함께하실 직원분 모십니다,경력무관,학력무관,서울 양천구,"부가세신고, 4대보험, 부가세신고, 세무조정, 세무회계사무소",~12/26(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43340260?Oem_Code=C1&logpath=1&stext=&listno=61286
광덕안정한의원의정부점,광덕안정한의원 의정부점 치료센터(간호조무사) 추가모집,경력무관,고졸↑,경기 의정부시,한의과,~01/15(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43340285?Oem_Code=C1&logpath=1&stext=&listno=61287
㈜하우스오브에이미(HouseofAmy),평택 웨딩홀 뷰티샵 원장님 모십니다,경력,학력무관,경기 평택시,"웨딩컨설팅, 메이크업, 웨딩",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43340224?Oem_Code=C1&logpath=1&stext=&listno=61288
로우멜로우,(여성의류 칙스) MD파트 (팀장급) 모집中,경력1년↑,학력무관,서울 동대문구 외,"패션, 웹디자인, 코디네이터, 에이블리, 패션",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43340195?Oem_Code=C1&logpath=1&stext=&listno=61289
㈜위테크,"[위테크] 반도체배관 공사관리자, 품질관리자, 안전관리자 신입채용",신입,초대졸↑,경기 화성시 외,"공조냉동, 시공관리, 플랜트, 가스설비, 산업안전",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43340246?Oem_Code=C1&logpath=1&stext=&listno=61290
