date, 회사명, 직무, URL, 경력,위치,지원방식in2023-11-30,㈜아워홈,2023년 하반기 아워홈 신입사원 공개채용,https://www.jobkorea.co.kr /Recruit/GI_Read/43352265?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=1,신입,서울,홈페이지 지원
2023-11-30,㈜트리즈커머스,[MCN커머스] 커머스매니저 / 콘텐츠기획 / 영업매니저 / CS매니저 각 직무 별 채용,https://www.jobkorea.co.kr /Recruit/GI_Read/43422262?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=22,신입·경력,서울,즉시지원
2023-11-30,㈜본투윈,[부문별 채용] 콘텐츠마케터/패션디자이너/CX매니저/온라인MD/기획 MD,https://www.jobkorea.co.kr /Recruit/GI_Read/43418179?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=23,경력무관,경기,즉시지원
2023-11-30,㈜삼원색,㈜삼원색 [에스핏] 아동복(키즈 주니어) 패션 디자이너 패션 브랜드 마케팅 의류 생산관리 아동복 품질관리(QC) 경력 채용 공고,https://www.jobkorea.co.kr /Recruit/GI_Read/43408587?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=24,신입·경력3년↑,서울,즉시지원
2023-11-30,㈜딤커뮤니케이션,이커머스 기획자(마케터)/총무 부문 채용,https://www.jobkorea.co.kr /Recruit/GI_Read/43405799?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=25,경력무관,서울,즉시지원
2023-11-30,에끌라두,교육강사 / 마케팅기획 / 세일즈(영업) [경력/신입] 채용,https://www.jobkorea.co.kr /Recruit/GI_Read/43389372?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=26,신입·경력,서울,즉시지원
2023-11-30,㈜바운스,[실내테마파크] (주)바운스 신입 및 경력직 채용,https://www.jobkorea.co.kr /Recruit/GI_Read/43364910?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=27,신입·경력,서울,즉시지원
2023-11-30,㈜디자인제이엔케이,인테리어 디자이너 / B2B 영업 마켓팅 경력직 채용,https://www.jobkorea.co.kr /Recruit/GI_Read/43331089?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=28,경력5년↑,서울,즉시지원
2023-11-30,㈜핫셀러,[인스타그램 광고 대행사 1위 핫셀러] 인스타그램 광고 영업/마케팅/기획/실행,https://www.jobkorea.co.kr /Recruit/GI_Read/43253278?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=29,경력무관,서울,즉시지원
2023-11-30,㈜중앙,[기본급/추가인센] 비영리 컨설팅 법인영업부 채용공고,https://www.jobkorea.co.kr /Recruit/GI_Read/43218289?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=30,경력무관,경기,즉시지원
2023-11-30,에이지에스,에이지에스 온라인 MD / 물류관리 정규직 채용,https://www.jobkorea.co.kr /Recruit/GI_Read/43430107?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=31,신입·경력3년↑,경기,즉시지원
2023-11-30,(유)이프로애드,[네이버 공식광고대행사] 이프로애드 디지털 마케터 경력직AE 특별채용,https://www.jobkorea.co.kr /Recruit/GI_Read/43364956?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=32,경력1년↑,서울,즉시지원
2023-11-30,㈜에스엠씨인터내셔널,[디저트39] Cafe프랜차이즈 본사 가맹점 슈퍼바이저 및 오픈바이저 채용,https://www.jobkorea.co.kr /Recruit/GI_Read/43422882?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=33,경력무관,서울,즉시지원
2023-11-30,진경산업㈜,[고든램지 레스토랑 코리아] 본사 각부서별 채용,https://www.jobkorea.co.kr /Recruit/GI_Read/43419352?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=34,경력3년↑,경기,즉시지원
2023-11-30,㈜에스엠씨인터내셔널,[디저트39] 2023년도 각 부문 공개 채용,https://www.jobkorea.co.kr /Recruit/GI_Read/43396315?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=35,신입·경력1년↑,경기,즉시지원
2023-11-30,㈜이엠넷,디지털광고 디자이너 `팀장/경력` 채용 [서울본사],https://www.jobkorea.co.kr /Recruit/GI_Read/43382207?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=36,경력,서울,즉시지원
2023-11-30,㈜이엠넷,디지털전략AE/AP 카피라이터 CW 미디어실 경력직 채용[서울본사],https://www.jobkorea.co.kr /Recruit/GI_Read/43382174?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=37,경력,서울,즉시지원
2023-11-30,㈜이엠넷,[서울본사] 디지털마케팅 AE 경력직 및 AE 관리자 채용,https://www.jobkorea.co.kr /Recruit/GI_Read/43382161?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=38,경력,서울,즉시지원
2023-11-30,㈜이엔에스코리아,[이엔에스코리아] 브랜드사업부 실무 담당자를 모집합니다.,https://www.jobkorea.co.kr /Recruit/GI_Read/43370606?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=39,경력1년↑,서울,즉시지원
2023-11-30,㈜이엔에스코리아,[이엔에스코리아] 부서별 실무 담당인재를 모집합니다.,https://www.jobkorea.co.kr /Recruit/GI_Read/43326563?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=40,경력1년↑,경기,즉시지원
2023-11-30,㈜신지모루,[신입/경력] 아마존 MD / AMD 해외 온라인 판매 관리자 모집,https://www.jobkorea.co.kr /Recruit/GI_Read/43313871?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=41,신입·경력2년↑,서울,즉시지원
2023-11-30,㈜에스엠씨인터내셔널,[디저트39] 바이럴마케터 팀장급 채용,https://www.jobkorea.co.kr /Recruit/GI_Read/43259084?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=42,경력5년↑,서울,즉시지원
2023-11-30,㈜이엔에스코리아,[이엔에스코리아] 부서별 실무 담당인재를 모집합니다.,https://www.jobkorea.co.kr /Recruit/GI_Read/43236027?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=43,경력1년↑,서울,즉시지원
2023-11-30,진경산업㈜,[고든램지 레스토랑 코리아] 마케팅팀 경력 사원 모집,https://www.jobkorea.co.kr /Recruit/GI_Read/43170116?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=44,경력3년↑,경기,즉시지원
2023-11-30,주식회사 룩캐스트,[패션브랜드] 룩캐스트(LOOKAST) 각 부문 하반기 채용공고,https://www.jobkorea.co.kr /Recruit/GI_Read/43150023?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=45,신입·경력3년↑,서울,즉시지원
2023-11-30,㈜MJ플렉스,[금요일 4시퇴근] MJ플렉스 IT 사업본부 서비스기획팀 팀장급 모집,https://www.jobkorea.co.kr /Recruit/GI_Read/43145765?Oem_Code=C1&logpath=1&stext=키워드 데이터 분석&listno=46,경력7년↑,서울,즉시지원
