회사명,직무,상황,지역,작성일,총점,승진 기회 및 가능성,복지 및 급여,업무와 삶의 균형,사내문화,경영진,총평,장점,단점,바라는점
플루오린코리아(주),생산/제조,"
          전직원
      ",울산,2023. 06,80%,100%,100%,80%,100%,60%,"
BEST
      ""다니기 좋은 회사이며, 배울점도 분명함.""
    ","일단 복지가 외국계, 대기업의 장점이 모아져있음. 분위기도 이정도면 상대적으로 우수하며, 반도체특수가스 분야에서 입지를 다져가고 있음",오래된 사람들이 많다보니 뭔가 새로운 아이디어나 참신함이 부족한 것 같음. 외부는 변하는데 회사내부는 변하지 않는...아직 10년전 회사같음.,신규사업 투자좀 적극적으로 했으면 좋겠습니다. 새로운 사람들이 많이 들어올 수 잇는 환경을 만들어주세요
플루오린코리아(주),생산/제조,"
          현직원
      ",울산,2023. 01,80%,80%,60%,60%,60%,60%,"
BEST
      ""그냥 한마디로 지금은 회사 어수선하고 아이템 3개로 버티고 잇는회사""
    ",장점은 그냥 사람들 좋고 편안하고 좋은게 장점입니다 그거말고는,단점은 발전 가능성 반도체라서 잇는데 기술 연구진 너무 부족,전문 경영진 삼성이나 이런데서 와서 화사 제대로 경영 햇으면 함
플루오린코리아(주),생산/제조,"
          전직원
      ",울산,2023. 01,80%,80%,80%,60%,20%,20%,"
BEST
      ""솔베이코리아에서 플루오린으로 바뀐 뒤 방향성을 잃은 회사""
    ","1.하루 세끼 식사 지원 (조식 천원)2.노조 설립 후 처우 개선 진행 중 (성과금, 근무개선)3.복지가 준수함 (의료비, 자기계발비, 리프레쉬 등)",(장점이자 단점)1.다른 사람들 뒷담화가 즐비한 곳2.자기가 아부 잘하고 비위 잘맞춰주는 성격 아니면 힘들다3.통근버스 없음,"회사 매각 이슈도 있고, 노조와 협상도 있고 여러 방면에서 고군분투 중이신데 화이팅입니다."
플루오린코리아(주),연구개발,"
          전직원
      ",서울,2022. 08,80%,80%,80%,100%,80%,80%,"
BEST
      ""외국계다운 삶과 일의 발란스를 중요하게 여기며, 괴국계다운 기업문화를 가지고 있음""
    ","외국계, 팀바팀이겠지만 팀 분위기나, 상하관계가 좋은 편. 다양한 복지와 교육을 제공하려고 노력함","채용이 많지 않음업무적인 능력향상이 매우 한정적임. 한국기업에서 일하다 오면 편하기는 하겠지만 능력적인 측면에서 자기 개발이 없음.",많은 최용기회가 있었으면 좋겠습니다.
플루오린코리아(주),생산/제조,"
          현직원
      ",울산,2022. 08,80%,60%,80%,80%,60%,60%,"
BEST
      ""성장성이 있지만 잘 활용하지 못하고 기업 규모는 작지만 의사결정이 빠르지 않고 뭔가 무거운 회사.""
    ",일반 연차 외 정기휴가.기업 성장성 좋은 편. 제조기업의 강점이 있음.,"기본급 낮고 각종 수당으로 급여 나눠놨음. 경영진의 의사결정이 둔하고 느림. 공격적으로 투자, 운영하는 회사에 밀리는 느낌.",의사결정 단계를 줄이고 때가 왔을 때 과감한 결정을 해주시길.
플루오린코리아(주),생산/제조,"
          전직원
      ",울산,2023. 06,80%,100%,100%,80%,100%,60%,"
BEST
      ""다니기 좋은 회사이며, 배울점도 분명함.""
    ","일단 복지가 외국계, 대기업의 장점이 모아져있음. 분위기도 이정도면 상대적으로 우수하며, 반도체특수가스 분야에서 입지를 다져가고 있음",오래된 사람들이 많다보니 뭔가 새로운 아이디어나 참신함이 부족한 것 같음. 외부는 변하는데 회사내부는 변하지 않는...아직 10년전 회사같음.,신규사업 투자좀 적극적으로 했으면 좋겠습니다. 새로운 사람들이 많이 들어올 수 잇는 환경을 만들어주세요
플루오린코리아(주),생산/제조,"
          현직원
      ",울산,2023. 01,80%,80%,60%,60%,60%,60%,"
BEST
      ""그냥 한마디로 지금은 회사 어수선하고 아이템 3개로 버티고 잇는회사""
    ",장점은 그냥 사람들 좋고 편안하고 좋은게 장점입니다 그거말고는,단점은 발전 가능성 반도체라서 잇는데 기술 연구진 너무 부족,전문 경영진 삼성이나 이런데서 와서 화사 제대로 경영 햇으면 함
플루오린코리아(주),생산/제조,"
          전직원
      ",울산,2023. 01,80%,80%,80%,60%,20%,20%,"
BEST
      ""솔베이코리아에서 플루오린으로 바뀐 뒤 방향성을 잃은 회사""
    ","1.하루 세끼 식사 지원 (조식 천원)2.노조 설립 후 처우 개선 진행 중 (성과금, 근무개선)3.복지가 준수함 (의료비, 자기계발비, 리프레쉬 등)",(장점이자 단점)1.다른 사람들 뒷담화가 즐비한 곳2.자기가 아부 잘하고 비위 잘맞춰주는 성격 아니면 힘들다3.통근버스 없음,"회사 매각 이슈도 있고, 노조와 협상도 있고 여러 방면에서 고군분투 중이신데 화이팅입니다."
플루오린코리아(주),연구개발,"
          전직원
      ",서울,2022. 08,80%,80%,80%,100%,80%,80%,"
BEST
      ""외국계다운 삶과 일의 발란스를 중요하게 여기며, 괴국계다운 기업문화를 가지고 있음""
    ","외국계, 팀바팀이겠지만 팀 분위기나, 상하관계가 좋은 편. 다양한 복지와 교육을 제공하려고 노력함","채용이 많지 않음업무적인 능력향상이 매우 한정적임. 한국기업에서 일하다 오면 편하기는 하겠지만 능력적인 측면에서 자기 개발이 없음.",많은 최용기회가 있었으면 좋겠습니다.
플루오린코리아(주),생산/제조,"
          현직원
      ",울산,2022. 08,80%,60%,80%,80%,60%,60%,"
BEST
      ""성장성이 있지만 잘 활용하지 못하고 기업 규모는 작지만 의사결정이 빠르지 않고 뭔가 무거운 회사.""
    ",일반 연차 외 정기휴가.기업 성장성 좋은 편. 제조기업의 강점이 있음.,"기본급 낮고 각종 수당으로 급여 나눠놨음. 경영진의 의사결정이 둔하고 느림. 공격적으로 투자, 운영하는 회사에 밀리는 느낌.",의사결정 단계를 줄이고 때가 왔을 때 과감한 결정을 해주시길.
