,회사명,총점,"직무, 지역"
3742,제이비,20.0,"생산/제조, 충남"
3743,제이비,100.0,"생산관리/품질관리, 충남"
3744,제이비,80.0,"서비스/고객지원, 충남"
3745,제이비,80.0,"영업/제휴, 충남"
3746,제이비우리캐피탈,60.0,"개발, 서울"
3747,제이비우리캐피탈,60.0,"금융/재무, 광주"
3748,제이비우리캐피탈,80.0,"금융/재무, 서울"
3749,제이비우리캐피탈,100.0,"서비스/고객지원, 경남"
3750,제이씨엔울산중앙방송,60.0,"개발, 울산"
3751,제이씨엔울산중앙방송,20.0,"마케팅/시장조사, 울산"
3752,제이씨엔울산중앙방송,30.0,"서비스/고객지원, 울산"
3753,제이씨엔울산중앙방송,20.0,"영업/제휴, 울산"
3754,제이씨코리아,100.0,"기획/경영, 경기"
3755,제이씨코리아,78.919,"디자인, 경기"
3756,제이씨코리아,40.0,"마케팅/시장조사, 경기"
3757,제이씨코리아,40.0,"마케팅/시장조사, 서울"
3758,제이씨코리아,46.667,"생산/제조, 경기"
3759,제이씨코리아,70.0,"영업/제휴, 경기"
3760,제이씨페니구매회사한국연락사무소,40.0,"마케팅/시장조사, 서울"
3761,제이씨페니구매회사한국연락사무소,50.0,"생산/제조, 서울"
3762,제이씨페니구매회사한국연락사무소,80.0,"생산관리/품질관리, 서울"
3763,제이씨페니구매회사한국연락사무소,60.0,"유통/무역, 서울"
3764,제이씨현시스템,50.0,"금융/재무, 서울"
3765,제이씨현시스템,20.0,"마케팅/시장조사, 서울"
3766,제이씨현시스템,50.0,"영업/제휴, 서울"
3767,제이아이유압,20.0,"생산/제조, 경남"
3768,제이아이유압,20.0,"영업/제휴, 경남"
3769,제이알정보기술,30.0,"개발, 경기"
3770,제이알정보기술,40.0,"개발, 서울"
3771,제이알정보기술,60.0,"개발, 울산"
3772,제이앤디전자,20.0,"마케팅/시장조사, 경기"
3773,제이앤디전자,40.0,"생산/제조, 경기"
3774,제이앤디전자,20.0,"생산/제조, 전남"
3775,제이앤디전자,20.0,"영업/제휴, 경기"
3776,제이앤디전자,20.0,"유통/무역, 경기"
3777,제이에스알마이크로코리아,80.0,"생산/제조, 경기"
3778,제이에스알마이크로코리아,66.667,"생산/제조, 충북"
3779,제이에스알마이크로코리아,100.0,"생산관리/품질관리, 충남"
3780,제이에스테크,40.0,"생산/제조, 경남"
3781,제이에스테크,50.0,"생산관리/품질관리, 경남"
3782,제이에스테크,60.0,"생산관리/품질관리, 부산"
3783,제이에이알시스템즈,20.0,"개발, 경기"
3784,제이에이알시스템즈,40.0,"개발, 경남"
3785,제이에이치관광개발,70.0,"기획/경영, 광주"
3786,제이에이치관광개발,46.667,"서비스/고객지원, 광주"
3787,제이엔케이히터,100.0,"금융/재무, 서울"
3788,제이엔케이히터,80.0,"기획/경영, 서울"
3789,제이엔케이히터,80.0,"엔지니어링, 서울"
3790,제이엔케이히터,60.0,"연구개발, 서울"
3791,제이엠티,90.0,"생산/제조, 경기"
3792,제이엠티,60.0,"생산관리/품질관리, 경기"
3793,제이제이케터링,80.0,"기획/경영, 서울"
3794,제이제이케터링,20.0,"서비스/고객지원, 경기"
3795,제이제이케터링,20.0,"서비스/고객지원, 서울"
3796,제이제이케터링,20.0,"전문직, 부산"
3797,제이제이케터링,20.0,"전문직, 서울"
3798,제이케이티,80.0,"디자인, 서울"
3799,제이케이티,20.0,"생산/제조, 경남"
3800,제이케이티,20.0,"생산/제조, 서울"
3801,제이코프,86.667,"개발, 대구"
3802,제이코프,100.0,"디자인, 대구"
3803,제이코프,60.0,"마케팅/시장조사, 대구"
3804,제이피모간증권회사,80.0,"금융/재무, 서울"
3805,제이피모간증권회사,20.0,"금융/재무, 해외"
3806,제이피모간증권회사,50.0,"기획/경영, 서울"
3807,제이피모간체이스은행서울지점,48.0,"금융/재무, 서울"
3808,제일건설,60.0,"생산/제조, 경기"
3809,제일건설,33.333,"엔지니어링, 경기"
3810,제일건설,60.0,"엔지니어링, 서울"
3811,제일기획,80.0,"개발, 인천"
3812,제일기획,80.0,"기획/경영, 서울"
3813,제일기획,80.0,"디자인, 서울"
3814,제일기획,60.0,"마케팅/시장조사, 서울"
3815,제일기획,60.0,"미디어/홍보, 서울"
